instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.8107095,-85.47136896,,,,﻿ben_j_flaget_901,﻿Rt. Rev.,﻿Benedict J. Flaget,﻿D.D.,,,,,,,1840,,﻿https://stjosephbasilica.org/history,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿guy_j_chabrat_901,﻿Rt. Rev.,﻿Guy J. Chabrat,﻿D.D.,"﻿Bishop of Bolina, Coadjutor",,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿joh_b_david_901,﻿Rt. Rev.,﻿John B. David,﻿D.D.,﻿Bishop of Mauricastro,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿jam_m_lancaster_901,﻿Rev.,﻿James M. Lancaster,,﻿Pastor,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿h_deluynes_901,﻿Rev.,﻿H. Deluynes,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0091,﻿church,﻿St. Thomas' Church,English,,,,﻿Nelson County,,,﻿Bardstown,﻿KY,﻿KY,37.76659691,-85.48401476,,,,﻿ath_a_aud_901,﻿Rev.,﻿Athanasius A. Aud.,,,,,,,,1840,,﻿https://www.saintthomasbardstown.org/ ; https://ia801606.us.archive.org/13/items/historicaltribut00howl/historicaltribut00howl.pdf,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0091,﻿station,﻿St. Thomas' Church,English,,,,﻿Nelson County,,,﻿Bardstown,﻿KY,,37.76659691,-85.48401476,,,,,,,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9036,﻿church,﻿St. Benedict's,English,,,,﻿Spencer County,,,,﻿KY,,,,,,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿church,[Unnamed Institution],English,,,,﻿Spencer County,﻿Spencer County,,﻿Taylorsville,﻿KY,﻿KY,38.03301885,-85.34467741,,,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1840,,﻿https://www.allsaintstville.org/history,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿station,[Unnamed Institution],English,,,,﻿Spencer County,﻿Spencer County,,﻿Taylorsville,﻿KY,,38.03301885,-85.34467741,,,﻿attended by Rev. J. Elliott,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
