instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.81071,-85.471369,,,,﻿mar_j_spalding_001,﻿Rev.,﻿J. M. Spalding,﻿D.D.,﻿Pastor,﻿assisted by the Rev. gentlemen of St. Joseph's College. Five other stations are visited by the pastor of the Cathedral.,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0091,﻿church,﻿St. Thomas' Church,English,,,,﻿Nelson County,,,﻿Bardstown,﻿KY,﻿KY,37.766597,-85.484015,,,,﻿a_a_aud_001,﻿Rev.,﻿A. A. Aud.,,,,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0063,﻿church,[Unnamed Institution],English,,,,,,,﻿New Haven,﻿KY,,37.66031,-85.590976,,,﻿attended by Rev. A. A. Aud,﻿a_a_aud_001,﻿Rev.,﻿A. A. Aud.,,,﻿attends the church at New Haven and four stations.,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.931782,-85.382918,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,﻿attends two stations,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9036,﻿church,﻿St. Benedict's,English,,,,﻿Spencer County,,﻿Taylorsville,,﻿KY,,,,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,﻿attends two stations,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0062,﻿church,﻿St. Vincent of Paul,English,,,,﻿Nelson County,,﻿Nazareth,,﻿KY,,,,,,,﻿jos_haseltine_901,﻿Rev.,﻿J. Haseltine,,,,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0083,﻿church,﻿St. John the Baptist's,English,,,,﻿Bullett County,﻿Bullitt County,,,﻿KY,,,,,,﻿[visited] once a month by Rev. J. Haseltine,﻿jos_haseltine_901,﻿Rev.,﻿Joseph Haseltine,,,,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,﻿KY,38.236908,-85.763639,,,,﻿ben_j_flaget_901,﻿Rev.,﻿Benedict J. Flaget,﻿D.D.,﻿Pastor,,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.236908,-85.763639,,,,﻿guy_i_chabrat_901,﻿Rt. Rev.,﻿Guy J. Chabrat,﻿D.D.,﻿Coadjutor,,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.236908,-85.763639,,,,﻿ign_a_reynolds_901,﻿Very Rev.,﻿Ignatius A. Reynolds,,﻿Vic. Gen.,,,,,,1842,,,,,﻿,﻿,﻿Bardstown,Bardstown
