instID,placeName,orig,reg,sic,corr,city,Cleaned city name,state,Address,Latitude,Longitude,year,church_type,instName,language,instNote,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,diocese,diocese_reg
﻿Cathedral Chapel of the Holy Cross,﻿(new cathedral building),,,,,﻿Boston,﻿Boston,﻿MA,"﻿Cathedral Chapel of the Holy Cross, (new cathedral building), Boston, MA",42.3600825,-71.0588801,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿Endicott street,,,,,﻿Boston,﻿Boston,﻿MA,"﻿St. Mary's, Endicott street, Boston, MA",42.3650568,-71.0573808,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Patrick's,,,,,,﻿Boston,﻿Boston,﻿MA,"﻿St. Patrick's, , Boston, MA",42.3600825,-71.0588801,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. James',,,,,,﻿Boston,﻿Boston,﻿MA,"﻿St. James', , Boston, MA",42.3268325,-71.0868246,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Holy Trinity,,,,,,﻿Boston,﻿Boston,﻿MA,"﻿Holy Trinity, , Boston, MA",42.3600825,-71.0588801,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Vincent's,,,,,,﻿Boston,﻿Boston,﻿MA,"﻿St. Vincent's, , Boston, MA",42.3676619,-71.0911235,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Stephen's,,,,,,﻿Boston,﻿Boston,﻿MA,"﻿St. Stephen's, , Boston, MA",42.3403858,-71.0737797,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Immaculate Conception,,,,,,﻿Boston,﻿Boston,﻿MA,"﻿Immaculate Conception, , Boston, MA",42.3368175,-71.0731746,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Joseph's,,,,,,﻿Boston,﻿Boston,﻿MA,"﻿St. Joseph's, , Boston, MA",42.3665655,-71.052568,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿SS. Peter and Paul,,,,,,﻿Boston,﻿Boston,﻿MA,"﻿SS. Peter and Paul, , Boston, MA",42.3600825,-71.0588801,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
