instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿#REF!,﻿#REF!,,,,﻿joh_timon_001,﻿Rt. Rev.,﻿John Timon,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿#REF!,﻿#REF!,,,,﻿f_ofarrell_002,﻿Very Rev.,﻿F. O'Farrell,﻿V.G.,,﻿absent in Europe,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿#REF!,﻿#REF!,,,,﻿w_gleeson_001,﻿Very Rev.,﻿Wm. Gleeson,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿#REF!,﻿#REF!,,,,﻿mic_maguire_001,﻿Rev.,﻿Michael Maguire,,﻿Chancellor,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿#REF!,﻿#REF!,,,,﻿pet_colgan_001,﻿Rev.,﻿Peter Colgan,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0006,﻿church,﻿St. Louis,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.895681,﻿-78.872186,,,,﻿wm_dieters_001,﻿Rev.,﻿Wm. Dieters,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0008,﻿church,﻿St. Mary's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.887483,﻿-78.864468,,,,﻿ant_schmid_001,﻿Rev.,﻿Anthony Schmid,﻿C.SS.R.,﻿Sup.,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0008,﻿church,﻿St. Mary's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.887483,﻿-78.864468,,,,﻿mic_rosenbauer_001,﻿Rev.,﻿Michael Rosenbauer,﻿C.SS.R.,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0008,﻿church,﻿St. Mary's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.887483,﻿-78.864468,,,,﻿pet_frishbier_001,﻿Rev.,﻿Peter Frishbier,﻿C.SS.R.,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0194,﻿church,﻿Immaculate Conception,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,﻿jam_m_early_001,﻿Rev.,﻿James Early,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0007,﻿church,﻿St. Boniface,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.915436,﻿-78.769903,,,,﻿hen_feldman_001,﻿Rev.,﻿Henry Feldman,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0011,﻿church,﻿St. Peter's,﻿French,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.972121,﻿-78.815475,,,,﻿f_n_sester_001,﻿Very Rev.,﻿F. N. Sester,﻿V.G.,,﻿for the French and Germans,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,﻿j_blettner_001,﻿Rev.,﻿John Blettner,﻿S.J.,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,﻿luc_caveng_001,﻿Rev.,﻿Lucas Caveng,﻿S.J.,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0002,﻿church,﻿St. Bridget's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.872779,﻿-78.864231,,,,﻿mar_oconnor_001,﻿Rev.,﻿Martin O'Connor,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0005,﻿church,﻿Holy Angels,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.903442,﻿-78.889303,,,,﻿edw_chevalier_001,﻿Rev.,﻿Edward Chevalier,﻿O.M.I.,,,,,,﻿Community of the Missionary Oblates of Mary Immaculate,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0005,﻿church,﻿Holy Angels,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.903442,﻿-78.889303,,,,﻿jos_guillard_002,﻿Rev.,﻿Joseph Guillard,﻿O.M.I.,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0003,﻿church,﻿St. Patrick's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.877307,﻿-78.84806,,,,﻿f_s_da-gagliano_001,﻿Rev.,﻿F. Sisto,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0010,﻿church,﻿St. Ann's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.882213,﻿-78.849333,,,,﻿ber_fritch_001,﻿Rev.,﻿Bernard Fritch,﻿S.J.,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0015,﻿church,[Unnamed Institution],English,,﻿Holy Cross Cemetery,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.830412,﻿-78.811363,,,,﻿tho_hynes_001,﻿Rev.,﻿Thomas Hynes,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0016,﻿chapel,﻿Chapel at the Hospital,English,,﻿Hospital,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,﻿fra_gerry_001,﻿Rev.,﻿Francis Gerry,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0017,﻿chapel,﻿Chapel at St. Vincent's Asylum,English,,﻿St. Vincent's Asylum,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,﻿buf.ny.0001,﻿Attended from the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Buffalo,Buffalo
