instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.776427,-79.934539,,,,﻿ric_s_baker_001,﻿Rev.,﻿R. S. Baker,,﻿Pastor,,,,,,1840,﻿https://en.wikipedia.org/wiki/Cathedral_of_Saint_John_and_Saint_Finbar ; https://charlestoncathedral.com/history/,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.776427,-79.934539,,,,﻿t_j_o-sullivan_901,﻿Rev.,﻿T. J. Sullivan,,﻿Assistant,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.776427,-79.934539,,,,﻿joh_england_901,﻿Rt. Rev.,﻿John England,﻿D.D.,﻿Bishop of Charleston,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.781891,-79.932866,,,,﻿ric_s_baker_001,﻿Rev.,﻿R. S. Baker,,﻿Vicar,,,,,,1840,﻿https://www.sma.church/our-history.html,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.781891,-79.932866,,,,﻿wm_burke_901,﻿Rev.,﻿Wm. Burke,,﻿Assistant,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.781891,-79.932866,,,,﻿mic_magrath_901,﻿Rev.,﻿Michael Magrath,,﻿Chaplain,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,﻿Charleston Neck,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.788225,-79.940392,,,,﻿pat_oneill_902,﻿Rev.,﻿P. O'Neill,,﻿Pastor,,,,,,1840,﻿https://www.stpatrickcharleston.org/history,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9003,﻿station,﻿St. James',English,,,,﻿Colleton District,﻿Colleton County,,﻿Walterboro,﻿SC,﻿SC,32.776772,-80.662111,﻿cha.sc.0001,﻿attended from Charleston,,,,,,,,,,,,1840,﻿https://schpr.sc.gov/index.php/Detail/properties/26792,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0023,﻿station,[Unnamed Institution],English,,,﻿the district of Beaufort,,,,,﻿SC,,32.439429,-80.670543,﻿cha.sc.0001,﻿attended from Charleston,,,,,,,,,,,,1840,"﻿this church history mentions the pre-church history, making me think it is likely the same place: https://www.stpetersbeaufort.org/parish-history",,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0007,﻿station,[Unnamed Institution],English,,,﻿Sullivan's Island,,,,,﻿SC,,,,﻿cha.sc.0001,﻿attended from Charleston,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0007,﻿station,[Unnamed Institution],English,,,﻿Sullivan's Island,,,﻿Summerville,,﻿SC,,,,﻿cha.sc.0001,﻿attended from Charleston,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,﻿SC,34.005509,-81.038109,,,,﻿tim_bermingham_001,﻿Rev.,﻿Timothy Bermingham,,,,,,,,1840,﻿https://www.visitstpeters.org/our-history,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,,34.005509,-81.038109,,,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,"﻿occassionally assists with kindness, when necessary",,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0026,﻿station,[Unnamed Institution],English,,,,﻿Fairfield District,,﻿Winnsboro,,﻿SC,﻿SC,,,﻿cha.sc.0025,﻿attended from Columbia,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9016,﻿station,[Unnamed Institution],English,,,,,,﻿Newberry,,﻿SC,,,,﻿cha.sc.0025,﻿attended from Columbia,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0012,﻿station,[Unnamed Institution],English,,,,,,﻿Orangeburg,,﻿SC,,,,﻿cha.sc.0025,﻿attended from Columbia,,,,,,,,,,,,1840,"﻿https://en.wikipedia.org/wiki/Orangeburg,_South_Carolina ; believe this is the location in question, possible that it is a trascription error, or there is a name change over the years",,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9017,﻿station,[Unnamed Institution],English,,,,,,﻿Lexington,,﻿SC,,,,﻿cha.sc.0025,﻿attended from Columbia,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9017,﻿station,[Unnamed Institution],English,﻿Some sections of the Rail Road works,,,,,﻿Lexington,,﻿SC,,,,﻿cha.sc.0025,﻿attended from Columbia,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0034,﻿church,"﻿Church of the Assumption, B.V.M.",English,,,,﻿Sumter District,,﻿Sumter,,﻿SC,,,,,,,﻿edw_quigley_901,﻿Rev.,﻿Edward Quigley,,﻿Pastor,,,,,,1840,"﻿2 churches stand today, neither built before 1870... There were two churches beforehand: Our Lady of the Assumption in 1838 and St. Lawrence in 1850. There's no St. John's here that I can find. https://archives.themiscellany.org/2011/05/26/stanne-sumter/ | https://www.sasjrcc.org/about-us/our-history/",,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9022,﻿station,[Unnamed Institution],English,,,,,,﻿Sumterville,,﻿SC,,,,,,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9015,﻿station,[Unnamed Institution],English,,,,﻿Kershaw District,,﻿Camden,,﻿SC,,,,,,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0035,﻿station,[Unnamed Institution],English,,,,﻿Chesterfield District,,﻿Cheraw,,﻿SC,,34.693371,-79.89188,,,,,,,,,,,,,,1840,﻿https://www.scpictureproject.org/chesterfield-county/st-peters-catholic-church.html ; feel like the founding in 42 makes it safe to say that this is a precursor,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0035,﻿station,[Unnamed Institution],English,﻿and two others of less note,,,﻿Chesterfield District,,﻿Cheraw,,﻿SC,,34.693371,-79.89188,,,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0035,﻿station,[Unnamed Institution],English,﻿and two others of less note,,,﻿Chesterfield District,,﻿Cheraw,,﻿SC,,34.693371,-79.89188,,,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0015,﻿church,﻿St. Andrew's,English,,,,,,﻿Barnwell,﻿Barnwell,﻿SC,,33.244873,-81.358718,﻿sav.ga.0003,﻿attended from Augusta,,,,,,,,,,,,1840,﻿St. Andrew's | https://en.wikipedia.org/wiki/Saint_Andrew%27s_Catholic_Church,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0021,﻿church,[Unnamed Institution],English,,,,,,﻿Edgarfield,﻿Edgefield,﻿SC,,,,﻿sav.ga.0003,﻿attended from Augusta,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0018,﻿station,[Unnamed Institution],English,,,,,,﻿Aiken,,﻿SC,,,,﻿sav.ga.0003,﻿attended from Augusta,,,,,,,,,,,,1840,﻿https://www.stmarys-aiken.org/history ; definitely makes it seem like this is a precursor to the 60s/70 aiken inst,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0032,﻿station,[Unnamed Institution],English,,,,,,﻿Abbeville,,﻿SC,,,,﻿sav.ga.0010,﻿attended from Locust Grove,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0055,﻿station,[Unnamed Institution],English,,,,,,﻿Lancaster,,﻿SC,,,,,,﻿visited by T.J. Cronin,﻿t_j_cronin_901,﻿Rev.,﻿T. J. Cronin,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0051,﻿station,[Unnamed Institution],English,,,,,,﻿Chester,,﻿SC,,,,,,﻿visited by T.J. Cronin,﻿t_j_cronin_901,﻿Rev.,﻿T. J. Cronin,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,﻿NC,35.052598,-78.876608,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,﻿V.F.,﻿Pastor,,,,,,1840,﻿https://www.stpatnc.org/history,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0018,﻿church,﻿St. John the Baptist's,English,,,,,,﻿Raleigh,,﻿NC,,,,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,﻿V.F.,﻿Pastor,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0009,﻿station,[Unnamed Institution],English,,,,,,﻿Halifax,,﻿NC,,,,,,﻿[attended by] Rev. Thomas Murphy,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,﻿V.F.,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9007,﻿church,﻿St. John the Evangelist's,English,,,,﻿Beaufort County,,﻿Washington,,﻿NC,,,,,,,﻿and_doyle_901,﻿Rev.,﻿Andrew Doyle,,﻿Pastor,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0004,﻿church,[Unnamed Institution],English,,,,,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,﻿NC,35.084575,-77.068429,,,﻿attend[ed] alternate months [by] Rev. Andrew Doyle,﻿and_doyle_901,﻿Rev.,﻿Andrew Doyle,,,,,,,,1840,"﻿While this church would not be built until 1840, the historical research others have done appears to make a clear connection between this early group of Catholics in 1833 and the formation of a congregation, then a church, in a few years. Because it is a precursor, I feel like it is worth giving it the ID: https://newbernhistorical.org/this-month-in-new-bern-history-january-2022/",,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9005,﻿station,[Unnamed Institution],English,,,,﻿Pitt County,,﻿Greenville,,﻿NC,,,,,,﻿occasionally visited by Rev. Andrew Doyle,﻿and_doyle_901,﻿Rev.,﻿Andrew Doyle,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0011,﻿station,[Unnamed Institution],English,,,,,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,﻿NC,35.167851,-80.728246,,,﻿visited by T.J. Cronin,﻿t_j_cronin_901,﻿Rev.,﻿T. J. Cronin,,﻿missionary,,,,,,1840,﻿Seems like this is a mission of some sort - or a satellite station?,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9003,﻿station,[Unnamed Institution],English,,,,,,﻿Lincoln,,﻿NC,,,,,,﻿visited by T.J. Cronin,﻿t_j_cronin_901,﻿Rev.,﻿T. J. Cronin,,﻿missionary,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0015,"﻿station, chapel",[Unnamed Institution],English,,,,,,﻿Rowan,,﻿NC,,,,,,﻿visited by T.J. Cronin,﻿t_j_cronin_901,﻿Rev.,﻿T. J. Cronin,,﻿missionary,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,"﻿station, chapel",[Unnamed Institution],English,,,,,,﻿Wilmington,,﻿NC,,,,﻿cha.sc.0001,﻿visited from Charleston,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9011,"﻿station, chapel",[Unnamed Institution],English,,,,﻿New Hanover County,,﻿South Washington,,﻿NC,,,,﻿cha.sc.0001,﻿visited from Charleston,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0003,﻿church,﻿Holy Trinity Church,English,﻿The stations visited from this church are in South Carolina,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,﻿GA,33.471676,-81.966806,,,,﻿joh_barry_901,﻿Rev.,﻿John Barry,﻿V.F.,﻿Pastor,,,,,,1840,﻿https://themostholytrinity.org/our-history,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0001,﻿church,﻿St. John the Baptist,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,﻿GA,32.073357,-81.090983,,,,﻿jer_f_oneill_001,﻿Rev.,﻿Jer. F. O'Neill,,﻿Pastor,,,,,,1840,"﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._John_the_Baptist_(Savannah,_Georgia)",,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0001,﻿church,﻿St. John the Baptist,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.073357,-81.090983,,,,﻿joh_fielding_901,﻿Rev.,﻿John Fielding,,﻿Assistant,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9013,"﻿station, chapel",[Unnamed Institution],English,,﻿Cockspur island,,,,,,﻿GA,,,,﻿sav.ga.0001,﻿visited from Savannah,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9013,﻿station,[Unnamed Institution],English,﻿Three or four sections of the Central Rail Road,﻿Cockspur island,,,,,,﻿GA,,,,,,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0009,﻿station,[Unnamed Institution],English,﻿and the adjoining catholics,,,﻿Camden County,,﻿St. Mary's,,﻿GA,,,,,,﻿visited by Rev. Thomas Molony,﻿tho_molony_901,﻿Rev.,﻿Thomas Molony,,﻿Missionary,﻿under the superintendence of the Pastor of Savannah,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9014,﻿station,[Unnamed Institution],English,,﻿Jakyll Island,,,,,,﻿GA,,,,,,﻿visited by Rev. Thomas Molony,﻿tho_molony_901,﻿Rev.,﻿Thomas Molony,,﻿Missionary,﻿under the superintendence of the Pastor of Savannah,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9017,"﻿station, mission",[Unnamed Institution],English,﻿and the adjoining works,,,,,﻿Brunswick,,﻿GA,,,,,,﻿visited by Rev. Thomas Molony,﻿tho_molony_901,﻿Rev.,﻿Thomas Molony,,﻿Missionary,﻿under the superintendence of the Pastor of Savannah,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,﻿and the other parts of Glenn County,,,,,﻿Darien,,﻿GA,,,,,,﻿visited by Rev. Thomas Molony,﻿tho_molony_901,﻿Rev.,﻿Thomas Molony,,﻿Missionary,﻿under the superintendence of the Pastor of Savannah,,,,,1840,﻿https://nativitydarien.org/who-we-are/,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0010,﻿church,﻿Purification of the B.V.M.,English,﻿and the adjoining counties,,,﻿Warren County,﻿Henry County,﻿Locust Grove,﻿Locust Grove,﻿GA,﻿GA,33.542523,-82.776687,,,,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,﻿Pastor,,,,,,1840,,,﻿https://www.hrcga.org/church/locust-grove-catholic/,﻿,﻿,﻿Charleston,Charleston
