instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,"﻿Sundays and holydays, the communion mass is at 7 A.M.; the high mass and sermon at 10 1/2 A.M.; vespers 3 1/2 P.M. in winter, and at 4 or 4 1/2 P.M. in summer; catechism for white children at 9 A.M., for colored children after vespers; daily mass at 7 A.M.",,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,﻿#REF!,﻿#REF!,,,,﻿r_s_baker_901,﻿V. Rev.,﻿R. S. Baker,,﻿Pastor,,,,,,1842,﻿https://en.wikipedia.org/wiki/Cathedral_of_Saint_John_and_Saint_Finbar ; https://charlestoncathedral.com/history/,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,"﻿Sundays and holydays, the communion mass is at 7 A.M.; the high mass and sermon at 10 1/2 A.M.; vespers 3 1/2 P.M. in winter, and at 4 or 4 1/2 P.M. in summer; catechism for white children at 9 A.M., for colored children after vespers; daily mass at 7 A.M.",,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿t_j_osullivan_901,﻿Rev.,﻿T. J. O'Sullivan,,﻿Assistant,,,,,,1842,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's (Annunciation),English,"﻿Sundays and holydays, the communion mass is at 7 A.M.; the high mass and sermon at 10 1/2 A.M.; vespers 3 1/2 P.M. in winter, and at 4 or 4 1/2 P.M. in summer; catechism for white children at 9 A.M., for colored children after vespers; daily mass at 7 A.M.",﻿Hassel Street,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,﻿#REF!,﻿#REF!,,,,﻿r_s_baker_901,﻿Rev.,﻿R. S. Baker,,﻿Vicar,,,,,,1842,﻿https://www.sma.church/our-history.html,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's (Annunciation),English,"﻿Sundays and holydays, the communion mass is at 7 A.M.; the high mass and sermon at 10 1/2 A.M.; vespers 3 1/2 P.M. in winter, and at 4 or 4 1/2 P.M. in summer; catechism for white children at 9 A.M., for colored children after vespers; daily mass at 7 A.M.",﻿Hassel Street,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿wm_burke_901,﻿Rev.,﻿Wm. Burke,,﻿Assistant,,,,,,1842,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,"﻿Sundays and holydays, the communion mass is at 7 A.M.; the high mass and sermon at 10 1/2 A.M.; vespers 3 1/2 P.M. in winter, and at 4 or 4 1/2 P.M. in summer; catechism for white children at 9 A.M., for colored children after vespers; daily mass at 7 A.M.",﻿Charleston Neck,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿Patrick O'Neil,,﻿Pastor,,,,,,1842,﻿https://www.stpatrickcharleston.org/history,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,"﻿Sundays and holydays, the communion mass is at 7 A.M.; the high mass and sermon at 10 1/2 A.M.; vespers 3 1/2 P.M. in winter, and at 4 or 4 1/2 P.M. in summer; catechism for white children at 9 A.M., for colored children after vespers; daily mass at 7 A.M.",﻿Charleston Neck,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿mic_mgrath_901,﻿Rev.,﻿Michael M'Grath,,﻿General assistant for the city and its vicinity,,,,,,1842,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,"﻿Sundays and holydays, the communion mass is at 7 A.M.; the high mass and sermon at 10 1/2 A.M.; vespers 3 1/2 P.M. in winter, and at 4 or 4 1/2 P.M. in summer; catechism for white children at 9 A.M., for colored children after vespers; daily mass at 7 A.M.",﻿Charleston Neck,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿pat_n_lynch_901,﻿Rev.,﻿Patrick N. Lynch,,﻿General assistant for the city and its vicinity,,,,,,1842,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0007,﻿station,[Unnamed Institution],English,"﻿In summer mass is generally supplied on Sundays at Summerville, about twenty-five miles distant on the railroad, and at Sullivan's Island, at the entrance of the harbor",,﻿Sullivan's Island,,,,,﻿SC,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1842,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0007,﻿station,[Unnamed Institution],English,"﻿In summer mass is generally supplied on Sundays at Summerville, about twenty-five miles distant on the railroad, and at Sullivan's Island, at the entrance of the harbor",,﻿Sullivan's Island,,,﻿Summerville,,﻿SC,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1842,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9003,﻿station,﻿St. James',English,,,,﻿Colleton District,﻿Colleton County,,﻿Walterboro,﻿SC,﻿SC,﻿#REF!,﻿#REF!,,,﻿visited by Rev. Patrick O'Neil,,﻿Rev.,﻿Patrick O'Neil,,,,,,,,1842,﻿https://schpr.sc.gov/index.php/Detail/properties/26792,﻿,﻿,﻿Charleston,Charleston
