instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿#ERROR!,﻿Rt. Rev.,﻿P. N. Lynch,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿T. J. Sullivan,,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿jam_a_corcoran_001,﻿Rev.,﻿J. A. Corcoran,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿L. Fillion,,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿Felix J. Carr,,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿ric_s_baker_001,﻿Rev.,﻿R. S. Baker,,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿p_ryan_002,﻿Rev.,﻿P. Bryan,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿P. O'Neill,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0049,﻿church,[Unnamed Institution],English,,,,,,﻿Abbeville,﻿Abbeville,﻿SC,,﻿#REF!,﻿#REF!,﻿sav.ga.0003,"﻿Attended from Augusta, Ga.",,,,,,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0044,﻿church,﻿St. Andrew's,English,,,,,,﻿Bairnewall,﻿Barnwell,﻿SC,,﻿#REF!,﻿#REF!,,,,﻿tim_bermingham_001,﻿Rev.,﻿T. Bermingham,,,,,,,,1861,﻿,﻿,﻿Charleston,Charleston
