instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,﻿#REF!,﻿#REF!,,,,﻿joh_b_purcell_901,﻿Right Rev.,﻿John B. Purcell,﻿D.D.,,,,,,,1839,﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._Peter_in_Chains,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿edw_t_collins_901,﻿Very Rev.,﻿Edward T. Collins,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿j_m_young_901,﻿Rev.,﻿J. M. Young,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿edw_purcell_901,﻿Rev.,﻿Edward Purcell,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,﻿#REF!,﻿#REF!,,,,﻿joh_m_henni_901,﻿Very Rev.,﻿John M. Henni,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿wm_piesback_901,﻿Rev.,﻿Wm. Piesback,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9009,﻿church,not recorded,English,,﻿Au-Glaize,,,,,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿j_m_hortsman_901,﻿Rev.,﻿J. M. Hortsman,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9021,﻿church,not recorded,English,,﻿Blanchard's River Settlement,,,,,,﻿OH,,,,,,,﻿j_m_hortsman_901,﻿Rev.,﻿J. M. Hortsman,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.9004,﻿church,﻿St. John's,English,,,,,﻿Stark County,﻿Canton,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿fer_kuhr_901,﻿Rev.,﻿Ferdinand Kuhr,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9016,﻿church,﻿St. Fidelis,English,,,,﻿Carrol County,﻿Carroll County,﻿Morges,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿mic_maleer_901,﻿Rev.,﻿Michael M'Aleer,,,,,,,,1839,﻿https://rosetownshipohio.com/wp-content/uploads/2019/03/Rose-Township-History.pdf,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0071,﻿church,﻿St. Mary's,English,,,,,﻿Ross County,﻿Chillicothe,﻿Chillicothe,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿h_d_yuncker_901,﻿Rev.,﻿H. D. Yuncker,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0001,﻿church,not recorded,English,﻿no church,,,,﻿Cuyahoga County,﻿Cleveland,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿p_odwyer_901,﻿Rev.,﻿P. O'Dwyer,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0001,﻿church,﻿St. Remigius,English,,,,,﻿Franklin County,﻿Columbus,,﻿OH,,﻿#REF!,﻿#REF!,,﻿visited by Rev. H. D. Yuncker,﻿once a month,﻿h_d_yuncker_901,﻿Rev.,﻿H. D. Yuncker,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9004,﻿church,not recorded,English,﻿church recently built,,,,﻿Montgomery County,﻿Dayton,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿ema_thienpont_901,﻿Rev.,﻿Emanuel Thienpont,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9004,﻿church,not recorded,English,﻿no church,,,,﻿Montgomery County,﻿Delaware,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿h_d_yuncker_901,﻿Rev.,﻿H. D. Yuncker,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9004,﻿church,not recorded,English,﻿no church,,,,﻿Montgomery County,﻿Piketown,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿h_d_yuncker_901,﻿Rev.,﻿H. D. Yuncker,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9004,﻿church,not recorded,English,﻿no church,,,,﻿Montgomery County,﻿Portsmouth,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿h_d_yuncker_901,﻿Rev.,﻿H. D. Yuncker,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9004,﻿church,not recorded,English,﻿no church,,,﻿Stark County,﻿Montgomery County,﻿Fulton,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿bas_shorb_901,﻿Rev.,﻿Basil Shorb,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9017,﻿church,not recorded,English,﻿church building,,,﻿Dark County,﻿Darke County,﻿Greenville,,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿f_bartels_901,﻿Rev.,﻿F. Bartels,,,,,,,,1839,,﻿,﻿,﻿Cincinnati,Cincinnati
