instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist,English,"﻿High Mass at 10, Vespers at 3, Benediction of the Blessed Sacrament at 7",,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.503032,-81.688109,,,,﻿a_rappe_001,﻿Rt. Rev.,﻿Amedeus Rappe,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist,English,"﻿High Mass at 10, Vespers at 3, Benediction of the Blessed Sacrament at 7",,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.503032,-81.688109,,,,,﻿Rev.,﻿E. Hannon,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist,English,"﻿High Mass at 10, Vespers at 3, Benediction of the Blessed Sacrament at 7",,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.503032,-81.688109,,,,,﻿Rev.,﻿B. O'Connor,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0002,﻿church,﻿St. Patrick's,English,"﻿High Mass at 10, Vespers at 3",﻿Fulton street,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.483426,-81.711512,,,,﻿j_conlan_001,﻿Very Rev.,﻿J. Conlan,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0002,﻿church,﻿St. Patrick's,English,"﻿High Mass at 10, Vespers at 3",﻿Fulton street,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.483426,-81.711512,,,,,﻿Rev.,﻿J. W. Cohlon,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0006,﻿church,﻿St. Bridget's,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.408659,-81.759543,﻿cle.oh.0001,﻿attended from the Cathedral,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0007,﻿church,﻿Immaculate Conception,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.514753,-81.66101,,﻿attended from St. Mary's Seminary,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0004,﻿church,﻿St. Peter's,English,"﻿High Mass at 10, Vespers at 3",﻿Dodge street,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.50231,-81.68207,,,,﻿j_luhr_001,﻿Very Rev.,﻿J. Luhr,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0010,﻿chapel,﻿St. Mary's,English,,﻿Columbus street,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.490575,-81.6946,,,,,﻿Rev.,﻿H. Obermuller,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0016,﻿hospital,﻿St. Vincent's Hospital,English,,,,,,﻿Cleveland,,﻿OH,,,,,﻿attended from St. Patrick's,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0017,﻿church,﻿St. Vincent's,English,,,,﻿Summit County,﻿Summit County,﻿Acron,﻿Akron,﻿OH,,41.136837,-81.598727,,,,﻿m_a_scanlan_001,﻿Rev.,﻿M. Scandlan,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0025,﻿church,﻿Holy Trinity,English,,,,﻿Lorain County,﻿Lorain County,﻿Avon,﻿Avon,﻿OH,,41.452578,-81.989644,,,,,﻿Rev. Father,﻿Amedeus,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0025,﻿church,﻿Holy Trinity,English,,,,﻿Lorain County,﻿Lorain County,﻿Avon,﻿Avon,﻿OH,,41.452578,-81.989644,,,,,﻿Rev. Mr.,﻿Hanseler,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0031,﻿church,not recorded,English,,,,﻿Stark County,﻿Stark County,﻿Bethlehem,﻿Bethlehem Township,﻿OH,,40.724782,-81.516825,,﻿attended from Massillon,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0028,﻿church,not recorded,English,,,,,﻿Huron County,﻿Bellevue,﻿Bellevue,﻿OH,,41.273665,-82.841576,,﻿attended from Sandusky City,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0030,﻿church,﻿St. Nicholas,English,,,,﻿Senica County,﻿Seneca County,﻿Berwick,﻿Berwick,﻿OH,,41.029222,-83.297978,,,,,﻿Rev.,﻿L. Bally,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0029,﻿church,not recorded,English,,,,﻿Cuyahoga County,﻿Cuyahoga County,﻿Bena,﻿Berea,﻿OH,,41.366161,-81.854303,﻿cle.oh.0126,﻿attended from Olmstead,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0038,﻿church,﻿St. John the Baptist,English,,,,﻿Stark County,﻿Stark County,﻿Canton,﻿Canton,﻿OH,,40.803179,-81.377309,,,,﻿e_w_lendesmith_001,﻿Rev.,﻿J. Lindersmith,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0039,﻿church,﻿St. Peter's,English,﻿German,,,﻿Stark County,﻿Stark County,﻿Canton,﻿Canton,﻿OH,,40.844634,-81.363431,,,,﻿a_ullmann_001,﻿Rev.,﻿A. Ullmann,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0045,﻿church,not recorded,English,,,,,﻿Ashtabula County,﻿Conneaut,,﻿OH,,41.947555,-80.554241,,﻿attended from Painesville,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0048,﻿church,not recorded,English,,,,,﻿Richland County,﻿Cressline,﻿Crestline,﻿OH,,40.787557,-82.736568,,﻿attended from Shelby,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0050,﻿church,﻿St. John's,English,,,,﻿Defiance County,﻿Defiance County,﻿Defiance,﻿Defiance,﻿OH,,41.284493,-84.35578,,,,﻿j_hieffel_001,﻿Rev.,﻿J. Heaffle,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0050,﻿church,﻿St. John's,English,,,,﻿Defiance County,﻿Defiance County,﻿Defiance,﻿Defiance,﻿OH,,41.284493,-84.35578,,,,,﻿Rev.,﻿J. Moloney,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0052,﻿church,not recorded,English,﻿no dedicated,,,﻿Van Wert County,﻿Allen County,﻿Delphos,﻿Delphos,﻿OH,,40.843571,-84.33453,,,,,﻿Rev.,﻿J. Westerholt,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0051,﻿church,not recorded,English,,,,﻿Defiance County,﻿Defiance County,﻿Delaware,﻿Delaware Township,﻿OH,,41.290161,-84.501243,﻿cle.oh.0050,﻿attended from Defiance,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0055,﻿church,﻿St. John's,English,,,,﻿Columbiana County,﻿Columbiana County,﻿Dunganan,﻿Dungannon,﻿OH,,40.734227,-80.878695,,,,,﻿Rev.,﻿N. Maes,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0054,﻿church,﻿St. Michael's,English,,,,﻿Wayne County,﻿Wayne County,﻿Doylestown,﻿Doylestown,﻿OH,,40.970055,-81.696517,,,,﻿j_lais_001,﻿Rev.,﻿J. Laes,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0066,﻿church,﻿St. Bonifacius',English,﻿English church,,,﻿Sandusky County,﻿Sandusky County,﻿Fremont,﻿Fremont,﻿OH,,41.35033,-83.121863,,,,,﻿Rev.,﻿L. Molon,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0067,﻿church,﻿German church,English,﻿not dedicated,,,﻿Sandusky County,﻿Sandusky County,﻿Fremont,﻿Fremont,﻿OH,,41.338632,-83.095086,,,,,﻿Rev.,﻿G. Peters,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0064,﻿church,not recorded,English,,,,﻿Putnam County,﻿Putnam County,﻿Fort Jennings,﻿Fort Jennings,﻿OH,,40.906439,-84.296616,,,,,﻿Rev. Mr.,﻿Boehne,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0064,﻿church,not recorded,English,,,,﻿Putnam County,﻿Richland County,﻿Gallion,﻿Fort Jennings,﻿OH,,40.906439,-84.296616,,﻿attended from Shelby,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0074,﻿church,﻿St. Peter's,English,,,,﻿Putnam County,﻿Putnam County,﻿Glandorf,﻿Glandorf,﻿OH,,41.030343,-84.079542,,,,,﻿Rev. Mr.,﻿Beamer,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0074,﻿church,﻿St. Peter's,English,,,,﻿Putnam County,﻿Putnam County,﻿Glandorf,﻿Glandorf,﻿OH,,41.030343,-84.079542,,,,,﻿Rev.,﻿A. Reichert,﻿C.PP.S.,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0074,﻿church,﻿St. Peter's,English,,﻿German Township,,﻿Fulton County,﻿Putnam County,﻿Glandorf,﻿Glandorf,﻿OH,,41.030343,-84.079542,,﻿attended from Defiance,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0078,﻿church,not recorded,English,﻿church not dedicated,,,﻿Summit County,﻿Summit County,﻿Hudson,﻿Hudson,﻿OH,,41.240056,-81.440667,,﻿attended from Cleveland,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0077,﻿church,﻿Sacred Heart of Mary,English,,,,﻿Stark County,﻿Stark County,﻿Harrisburgh,﻿Harrisburg,﻿OH,,40.868468,-81.251883,,,,,﻿Rev.,﻿L. Frere,,,,,,﻿Sacred Heart of Mary,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0081,﻿church,﻿St. Michaels,English,,,,﻿Cuyahoga County,﻿Cuyahoga County,﻿Independence,﻿Independence,﻿OH,,41.383092,-81.642879,,﻿attended from Cleveland,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0057,﻿church,not recorded,English,﻿church not dedicated,,,﻿Lorain County,,﻿Illyria,,﻿OH,,41.364774,-82.105661,,,,,﻿Rev.,﻿R. Sidley,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0085,﻿church,not recorded,English,,,,,﻿Ashtabula County,﻿Kingsville,﻿Kingsville,﻿OH,,41.887396,-80.66874,,﻿attended from Painsville,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0096,﻿church,﻿St. Louis,English,﻿vacant,,,﻿Stark County,﻿Stark County,﻿Louisville,﻿Louisville,﻿OH,,40.838214,-81.259599,,,,,﻿Rev.,﻿F. Darcy,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0094,﻿church,﻿St. Mary's,English,,,,,﻿Sandusky County,﻿Laprairie,﻿Rice Township,﻿OH,,41.44501,-83.11128,,﻿attended from Freemont,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0087,﻿church,﻿St. Martin's,English,,,,﻿Medina County,﻿Medina County,﻿Liverpool,﻿Valley City,﻿OH,,41.237664,-81.931271,,,,,﻿Rev.,﻿J. B. Van De Broose,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0095,﻿church,﻿St. John the Baptist,English,,,,﻿Lorain County,﻿Lorain County,﻿Laporte,﻿Carlisle Township,﻿OH,,41.310552,-82.106068,,,,,﻿Rev.,﻿R. Sidley,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0090,﻿church,﻿St. Sebastian's,English,,,,,﻿Sandusky County,﻿Liberty,﻿Bellevue,﻿OH,,41.273665,-82.841576,,﻿attended from Tiffin,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0098,﻿church,not recorded,English,﻿church not dedicated,,,﻿Richland County,﻿Richland County,﻿Mansfield,﻿Mansfield,﻿OH,,40.75839,-82.515447,,﻿attended from Wooster,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0100,﻿church,﻿St. Mary's,English,﻿German,,,﻿Stark County,﻿Stark County,﻿Massillon,﻿Massillon,﻿OH,,40.802379,-81.52292,,,,,﻿Rev.,﻿N. Rouppe,﻿,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0102,﻿church,﻿St. Joseph's,English,,,,﻿Lacas County,﻿Lucas County,﻿Maumee City,﻿Maumee,﻿OH,,41.560387,-83.654218,,,,,﻿Rev.,﻿S. J. Bowen,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0105,﻿church,not recorded,English,,,,,﻿Wood County,﻿Middletown and Six Miles Woods,﻿Middleton Township,﻿OH,,41.458519,-83.650809,,﻿visited from Maumee City,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0105,﻿church,﻿St. Genevieve,English,,,,﻿Holmes County,﻿Wood County,﻿Mount Eaton,﻿Middleton Township,﻿OH,,41.458519,-83.650809,,,,,﻿Rev. Mr.,﻿Haimo,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0110,﻿church,not recorded,English,,,,﻿Henry County,﻿Henry County,﻿Napoleon,﻿Napoleon,﻿OH,,41.392273,-84.125224,,﻿attended from Defiance,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0110,﻿church,not recorded,English,﻿not dedicated,,,﻿Holmes County,﻿Henry County,﻿Napoleon,﻿Napoleon,﻿OH,,41.392273,-84.125224,,﻿attended from Mount Eaton,,,,,,,,,,,,1860,﻿,﻿,﻿Cleveland,Cleveland
