instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cov.ky.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿8th street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,39.07815,-84.50825,,,,﻿tho_r_butler_001,﻿Very Rev.,﻿T. R. Butler,﻿V.G.,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿8th street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,39.07815,-84.50825,,,,﻿e_h_brendts_001,﻿Rev.,﻿E. H. Brandts,,﻿Assistant,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿8th street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,39.07815,-84.50825,,,,﻿cle_shevé_001,﻿Rev.,﻿Clement Shevé,,﻿Assistant,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿8th street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,39.07815,-84.50825,,,,﻿m_jungeu_001,﻿Rev.,﻿M. Jungeu,,﻿Assistant,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0002,﻿church,﻿Church of the Mother of God,English,,,,,,﻿Covington,﻿Covington,﻿KY,,39.083949,-84.512612,,,,﻿fer_kühr_001,﻿Rev.,﻿Ferdinand Kühr,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0110,﻿church,﻿St. John the Evangelist,English,,,,,,﻿Covington,﻿Covington,﻿KY,,,,,,,﻿and_michel_001,﻿Rev.,﻿Andrew Michell,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0004,﻿church,﻿St. Joseph's,English,,,,,,﻿Covington,﻿Covington,﻿KY,,39.076098,-84.51841,,,,﻿rom_hill_004,﻿Rev.,﻿Roman Hill,﻿O.S.B.,﻿Prior,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0004,﻿church,﻿St. Joseph's,English,,,,,,﻿Covington,﻿Covington,﻿KY,,39.076098,-84.51841,,,,﻿p_lambert_002,﻿Rev.,﻿P. Lambert,﻿O.S.B.,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0004,﻿church,﻿St. Joseph's,English,,,,,,﻿Covington,﻿Covington,﻿KY,,39.076098,-84.51841,,,,﻿lea_schiron_001,﻿Rev.,﻿Leander Schiron,﻿O.S.B.,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0008,﻿church,[Unnamed Institution],English,﻿brick School house used as a Church,,,﻿Greenup County,,﻿Ashland,﻿Ashland,﻿KY,,38.478414,-82.637939,,"﻿by Rev. Clement Shevé, Covington",﻿attended 2d Sunday of the month,﻿cle_shevé_001,﻿Rev.,﻿Clement Shevé,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0009,﻿church,﻿Church of St. Augustine,English,﻿A large brick Church now building,,,﻿Bracken County,,﻿Augusta,﻿Augusta,﻿KY,,38.771738,-84.005763,,"﻿Rev. Clement Shevé, Covington",,﻿cle_shevé_001,﻿Rev.,﻿Clement Shevé,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0010,﻿church,[Unnamed Institution],English,,,,﻿Bath County,,﻿Bethel,﻿Bethel,﻿KY,,38.245077,-83.867978,﻿cov.ky.0028,﻿attended from Lexington,﻿twice a year,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0011,﻿church,[Unnamed Institution],English,,,,﻿Madison County,,﻿Boonsborough,﻿Boonesborough,﻿KY,,37.908412,-84.271875,﻿cov.ky.0028,﻿attended from Lexington,﻿twice a year,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0012,﻿church,[Unnamed Institution],English,,,,﻿Bracken County,,﻿Brookville,﻿Brooksville,﻿KY,,38.682572,-84.065763,﻿cov.ky.0009,﻿attended from Augusta,﻿twice a year,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0013,﻿church,[Unnamed Institution],English,,,,﻿Nicholas County,,﻿Carlysle,﻿Carlisle,﻿KY,,38.31202,-84.027427,﻿cov.ky.0028,﻿from Lexington,﻿every three months,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0014,﻿church,[Unnamed Institution],English,,,,﻿Grant County,,﻿Crittenden,﻿Crittenden,﻿KY,,38.784596,-84.60324,﻿cov.ky.0001,﻿attended from the Cathedral,﻿occasionally,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0015,﻿church,[Unnamed Institution],English,"﻿brick church, residence and School house",,,﻿Carroll County,,﻿Carrollton,﻿Carrollton,﻿KY,,38.676344,-85.17919,,,,﻿d_winands_001,﻿Rev.,﻿D. Winands,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0017,﻿church,[Unnamed Institution],English,,,,﻿Harrison County,,﻿Cynthiana,﻿Cynthania,﻿KY,,38.390353,-84.294101,﻿cov.ky.0043,﻿attended from Paris,﻿once a month,﻿p_perry_001,﻿Rev.,﻿P. Perry,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0018,﻿church,﻿St. Francis Xavier,English,﻿brick church,,,﻿Pendleton County,,﻿Falmouth,﻿Falmouth,﻿KY,,38.676737,-84.330214,﻿cov.ky.0001,﻿from Cathedral,﻿once a month,﻿p_perry_001,﻿Rev.,﻿P. Perry,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0018,﻿church,﻿St. Francis Xavier,English,﻿brick church,,,﻿Pendleton County,,﻿Falmouth,﻿Falmouth,﻿KY,,38.676737,-84.330214,﻿cov.ky.0043,﻿and from Paris,﻿once a month,﻿c_shevé_001,﻿Rev.,﻿C. Shevé,,,﻿for Germans,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0019,﻿church,[Unnamed Institution],English,﻿chapel vacant,,,﻿Flemming County,,﻿Flemmingsburg,﻿Flemingsburg,﻿KY,,38.4223,-83.733808,﻿cov.ky.0030,﻿from Maysville,﻿once a month,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0020,﻿church,[Unnamed Institution],English,,,,﻿Boon County,,﻿Florence,﻿Florence,﻿KY,,38.99895,-84.626611,,"﻿attended by Rev. E. H. Brandts, Covington",,﻿e_h_brendts_001,﻿Rev.,﻿E. H. Brandts,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0021,﻿church,[Unnamed Institution],English,,,,﻿Pendleton County,,﻿Foster's Landing,﻿Foster's Landing,﻿KY,,,,,﻿attended by Benedictine Fathers from Covington,,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0022,﻿church,﻿Church of St. Joseph,English,﻿with residence and School house,,,﻿Campbell County,,﻿Four Mile,﻿Four Mile,﻿KY,,38.895189,-84.396253,,,﻿service on three Sundays of the month,﻿law_spitzelberger_001,﻿Rev.,﻿Lawrence Spitzelberger,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0023,﻿church,﻿Church of the Good Shepherd,English,﻿with residence,,,﻿Franklin County,,﻿Frankfort,﻿Frankfort,﻿KY,,38.200906,-84.873283,,,,﻿jam_m_lancaster_001,﻿Rev.,﻿James M. Lancaster,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0024,﻿church,[Unnamed Institution],English,,,,﻿Scott County,,﻿Georgetown,﻿Georgetown,﻿KY,,38.22281,-84.567584,﻿cov.ky.0064,﻿attended from St. Stanislas College,,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0026,﻿church,[Unnamed Institution],English,,,,﻿Kenton County,,﻿Independence,﻿Independence,﻿KY,,38.943118,-84.544109,,﻿Rev. E. H. Brandts,﻿once a month,﻿e_h_brendts_001,﻿Rev.,﻿E. H. Brandts,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0027,﻿church,﻿St. Francis of Assissium,English,﻿residence and School house,,,,,﻿Jamestown,,﻿KY,,,,,,,﻿cha_shaffroth_001,﻿Rev.,﻿Charles Shaffroth,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0028,﻿church,﻿St. Peter's Church,English,"﻿residence, Boys' Academy, &c.",,,﻿Fayette County,,﻿Lexington,﻿Lexington,﻿KY,,38.046919,-84.494528,,,,﻿h_g_allen_001,﻿Rev.,﻿H. G. Allen,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0028,﻿church,﻿St. Peter's Church,English,"﻿residence, Boys' Academy, &c.",,,﻿Fayette County,,﻿Lexington,﻿Lexington,﻿KY,,38.046919,-84.494528,,,,﻿jos_brogard_002,﻿Rev.,﻿Joseph Brogard,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0029,﻿church,[Unnamed Institution],English,,,,﻿Mason County,,﻿Mayslick,﻿Mays Lick,﻿KY,,38.517576,-83.841866,﻿cov.ky.0030,﻿attended from Maysville,,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0030,﻿church,﻿St. Patrick's,English,,,,﻿Mason County,,﻿Maysville,﻿Maysville,﻿KY,,38.645115,-83.763428,,,,﻿p_mcmahon_001,﻿Rev.,﻿Peter McMahon,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0030,﻿church,﻿St. Patrick's,English,,,,﻿Mason County,,﻿Maysville,﻿Maysville,﻿KY,,38.645115,-83.763428,,,,﻿cha_f_hone_002,﻿Rev.,﻿Chas. F. Hone,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0031,﻿church,[Unnamed Institution],English,,,,﻿Bracken County,,﻿Milford,﻿Milford,﻿KY,,38.58174,-84.156598,﻿cov.ky.0009,﻿attended from Augusta,,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0032,﻿church,[Unnamed Institution],English,,,,﻿Montgomery County,,﻿Mount Sterling,﻿Mount Sterling,﻿KY,,38.056468,-83.943256,﻿cov.ky.0028,﻿from Lexington,﻿every two months,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0034,﻿church,﻿Church of St. John the Baptist,English,﻿stone church,,,﻿Campbell County,,﻿Mount St. John,,﻿KY,,38.895189,-84.396253,,﻿attended from Newport,,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0035,﻿church,﻿Church of St. Benedict,English,,﻿Central Kentucky Railroad,,﻿Kenton County,,﻿Mullin's Station,,﻿KY,,38.986387,-84.564147,,"﻿attended by Rev. Leander Schuerr, O.S.B.",﻿4th Sunday of the month,﻿f_l_schnerr_001,﻿Rev.,﻿F. Leander Schnerr,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0036,﻿church,﻿Immaculate Conception,English,,,,﻿Campbell County,,﻿Newport,﻿Newport,﻿KY,,39.091449,-84.495776,,,,﻿pat_gilfoyle_001,﻿Rev.,﻿Patrick Gilfoyle,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0037,﻿church,﻿Corpus Christi,English,,,,﻿Campbell County,,﻿Newport,﻿Newport,﻿KY,,39.091449,-84.495776,,,,﻿joh_vol_001,﻿Rev.,﻿John Voll,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0038,﻿church,﻿St. Stephen's,English,,,,﻿Campbell County,,﻿Newport,﻿Newport,﻿KY,,39.091449,-84.495776,,,,﻿jos_füchshuber_001,﻿Rev.,﻿Joseph Füchshuber,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0039,﻿church,[Unnamed Institution],English,,,,﻿Jessamine County,,﻿Nicholasville,﻿Nicholasville,﻿KY,,37.880634,-84.572996,﻿cov.ky.0028,﻿attended from Lexington,,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0041,﻿church,[Unnamed Institution],English,,,,﻿Bath County,,﻿Owensville,﻿Owingsville,﻿KY,,38.144802,-83.764085,﻿cov.ky.0028,﻿from Lexington,﻿twice a year,,,,,,,,,,,1860,﻿,﻿,﻿Covington,Covington
