instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque,﻿Dubuque,﻿IA,,42.495195,-90.666832,,,,﻿cle_smyth_001,﻿Rt. Rev.,﻿Clement Smyth,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque,﻿Dubuque,﻿IA,,42.495195,-90.666832,,,,﻿jam_b_donelan_001,﻿Rev.,﻿James B. Donelan,,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque,﻿Dubuque,﻿IA,,42.495195,-90.666832,,,,﻿jam_a_durnin_001,﻿Rev.,﻿James A. Durnin,,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Dubuque,﻿Dubuque,﻿IA,,42.506691,-90.669298,,,,﻿p_mccabe_001,﻿Rev.,﻿P. McCabe,,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0003,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Dubuque,﻿Dubuque,﻿IA,,42.50768,-90.667007,,,,﻿joh_fendricks_001,﻿Rev.,﻿John Fendrick,,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0004,﻿church,﻿St. Joseph's,English,,,,﻿Dubuque County,﻿Dubuque County,﻿Dubuque,﻿Dubuque,﻿IA,,42.583198,-90.88363,,,,﻿t_j_donaghoe_001,﻿Very Rev.,﻿T. J. Donaghoe,,﻿V.G.,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0005,﻿church,﻿St. Catharine's,English,,,,﻿Dubuque County,﻿Dubuque County,﻿Dubuque,﻿Dubuque,﻿IA,,42.405909,-90.591945,﻿dub.ia.0006,﻿attended from St. Donatus,,,,,,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0006,﻿church,﻿St. Donatus,﻿Ger.,,,,﻿Dubuque County,﻿Dubuque County,﻿Dubuque,﻿Dubuque,﻿IA,,42.360843,-90.539295,,,,﻿m_flamang_001,﻿Rev.,﻿Michael Flammang,,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0237,﻿church,﻿St. Theresa,English,,,,﻿Dubuque County,﻿Dubuque County,﻿Dubuque,﻿Dubuque,﻿IA,,42.49755,-90.693358,,,,﻿edw_kenny_001,﻿Rev.,﻿Edward Kenny,,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0262,﻿church,﻿St. Joseph Calasanctius,English,,,,﻿Dubuque County,﻿Dubuque County,﻿Dubuque,﻿Dubuque,﻿IA,,42.4793918,-90.70523288,,,,﻿vic_badon_001,﻿Rev.,﻿Victor Badon,,,,,,,,1861,﻿,﻿,﻿Dubuque,Dubuque
