instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿new Cathedral nearly finished,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075714,-85.138157,,,,﻿joh_h_luers_001,﻿Rt. Rev.,﻿John H. Luers,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿new Cathedral nearly finished,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075714,-85.138157,,,,﻿jul_benoit_001,﻿Very Rev.,﻿Julian Benoit,,"﻿Vicar General, Pastor",,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.079273,-85.139351,,,,﻿jos_weutz_001,﻿Rev.,﻿Joseph Weutz,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0006,﻿church,[Unnamed Institution],English,﻿New church building,,,﻿Fountain County,﻿Fountain County,﻿Attica,﻿Attica,﻿IN,,40.294204,-87.248899,﻿for.in.0030,﻿Visited from Crawfordsville,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0007,﻿church,﻿St. Mary's,English,,,,﻿Noble County,﻿Noble County,﻿Avilla,﻿Avilla,﻿IN,,41.365882,-85.238863,,,,﻿hen_schaefer_001,﻿Rev.,﻿Henry Schaefer,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0007,﻿church,﻿St. Mary's,English,,,,﻿Noble County,﻿Noble County,﻿Avilla,﻿Avilla,﻿IN,,41.365882,-85.238863,,,,﻿f_w_holz_001,﻿Rev.,﻿F. William Holz.,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0008,﻿church,[Unnamed Institution],English,,,,﻿De Kalb County,,﻿Auburn,,﻿IN,,41.366994,-85.058857,﻿for.in.0007,﻿Attended from Avilla,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0009,﻿church,﻿St. Mary's,English,,,,﻿Madison County,﻿Madison County,﻿Anderson,﻿Anderson,﻿IN,,40.10532,-85.680254,,,,﻿pat_fitzmaurice_001,﻿Rev.,﻿Patrick Fitzmaurice,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0205,﻿church,[Unnamed Institution],English,,,,﻿Kosciosko County,,﻿Barbee Lake,,,,,,﻿for.in.0069,﻿Attended from Laporte,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0010,﻿church,﻿St. Vincent of Paul,English,,,,﻿Allen County,﻿Allen County,﻿Besancon,﻿New Haven,﻿IN,,41.070604,-85.014412,﻿for.in.0102,﻿Attended from New France,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0014,﻿church,[Unnamed Institution],English,,,,﻿Wells County,﻿Wells County,﻿Blufton,﻿Bluffton,﻿IN,,40.738658,-85.171637,﻿for.in.0034,﻿attended from Decatur,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0016,﻿church,[Unnamed Institution],English,,,,﻿Marshall County,﻿Marshall County,﻿Bourbon,﻿Bourbon,﻿IN,,41.2956,-86.116389,﻿for.in.0069,﻿Attended from Laporte,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0186,﻿church,[Unnamed Institution],English,,,,﻿Lake County,﻿Lake County,﻿Calumet Station,﻿Calumet Station,﻿IN,,,,﻿for.in.0139,﻿attended from Turkey Creek,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0023,﻿church,[Unnamed Institution],English,,,,﻿Whitley County,﻿Whitley County,﻿Columbia,﻿Columbia City,﻿IN,,41.151888,-85.48549,﻿for.in.0054,﻿attended from Huntington (St. Mary's),,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0188,﻿church,[Unnamed Institution],English,,,,﻿Hamilton County,﻿Hamilton County,﻿Cicero,﻿Cicero,﻿IN,,,,﻿for.in.0109,﻿attended from Peru,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0031,﻿church,[Unnamed Institution],English,,,,﻿Lake County,﻿Lake County,﻿Crown Point,﻿Crown Point,﻿IN,,41.416981,-87.365313,﻿for.in.0129,﻿attended from St. John's,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0029,﻿church,[Unnamed Institution],English,,,,﻿Lake County,﻿Lake County,﻿Cedar Lake,﻿Cedar Lake,﻿IN,,41.364758,-87.441147,﻿for.in.0129,﻿attended from St. John's,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0020,﻿church,﻿St. Patrick,English,,,,﻿Porter County,﻿Porter County,﻿Calumet,﻿Chesterton,﻿IN,,41.567713,-87.023684,﻿for.in.0069,﻿attended from Laporte,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0028,﻿church,[Unnamed Institution],English,,,,﻿Fountain County,﻿Fountain County,﻿Covington,﻿Covington,﻿IN,,40.141705,-87.394736,﻿for.in.0030,﻿attended from Crawfordsville,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0030,﻿church,[Unnamed Institution],English,,,,﻿Montgomery County,﻿Montgomery County,﻿Crawfordsville,﻿Crawfordsville,﻿IN,,40.041154,-86.874452,,,,﻿e_oflaherty_001,﻿Rev.,﻿E. O'Flaherty,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0034,﻿church,﻿St. Mary's,English,,,,﻿Adams County,﻿Adams County,﻿Decatur,﻿Decatur,﻿IN,,40.830603,-84.929133,,,,﻿jac_mayer_001,﻿Rev.,﻿Jacob Mayer,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0035,﻿church,[Unnamed Institution],English,﻿brick church; New church building,,,﻿Carroll County,﻿Carroll County,﻿Delphi,﻿Delphi,﻿IN,,40.587537,-86.675006,,,,﻿joh_mcmahon_001,﻿Rev.,﻿John McMahon,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0037,﻿church,[Unnamed Institution],English,,,,﻿Elkheart County,﻿Elkhart County,﻿Elkheart,﻿Elkhart,﻿IN,,41.67789,-85.965179,﻿for.in.0085,﻿attended from Mishawka,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0206,﻿church,[Unnamed Institution],English,,,,﻿Whitley County,,﻿Eel River,,﻿IN,,,,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0039,﻿church,[Unnamed Institution],English,,,,﻿Clinton County,﻿Clinton County,﻿Frankfort,﻿Frankfort,﻿IN,,40.279481,-86.510835,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0041,﻿church,[Unnamed Institution],English,,,,﻿White County,,﻿Francisville,﻿Francesville,﻿IN,,40.985317,-86.879461,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0045,﻿church,[Unnamed Institution],English,﻿New church building,,,﻿Elkheart County,﻿Elkhart County,﻿Goshen,﻿Goshen,﻿IN,,41.580427,-85.905964,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0046,﻿church,[Unnamed Institution],English,,,,﻿Porter County,﻿Starke County,﻿Grovertown,﻿Grovertown,﻿IN,,41.375043,-86.504734,﻿for.in.0146,﻿attended from Valparaiso,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0047,﻿church,[Unnamed Institution],English,,,,﻿Porter County,﻿LaPorte County,﻿Hanna,﻿Hanna,﻿IN,,41.41234,-86.781186,﻿for.in.0146,﻿attended from Valparaiso,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0048,﻿church,﻿St. Elizabeth's,English,,,,﻿Cass County,﻿Cass County,﻿Harrison Township,﻿Harrison Township,﻿IN,,40.882434,-86.398479,﻿for.in.0081,﻿attended from Logansport,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0051,﻿church,[Unnamed Institution],English,﻿New church building,,,﻿Allen County,﻿Allen County,﻿Hesse Cassel,﻿Hessen Cassel,﻿IN,,40.977826,-85.079136,﻿for.in.0034,﻿attended from Decatur,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0052,﻿church,[Unnamed Institution],English,,,,﻿Lake County,﻿Lake County,﻿Hobart,﻿Hobart,﻿IN,,41.532259,-87.255035,﻿for.in.0146,﻿attended from Valparaiso,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0054,﻿church,﻿St. Mary's,English,,,,﻿Huntington County,﻿Huntington County,﻿Huntington,﻿Huntington,﻿IN,,40.884244,-85.499273,,,,﻿fre_fuchs_001,﻿Rev.,﻿Frederick Fuchs,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0056,﻿church,[Unnamed Institution],English,,,,,﻿Grant County,﻿Jonesboro',﻿Jonesboro,﻿IN,,40.479762,-85.627754,﻿for.in.0079,﻿attended from Legros,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0058,﻿church,[Unnamed Institution],English,,,,﻿Miami County,﻿Howard County,﻿Kokomo,﻿Kokomo,﻿IN,,40.486427,-86.133603,,﻿attended from St. Patrick's,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0058,﻿church,[Unnamed Institution],English,,,,﻿Miami County,﻿Howard County,﻿Kokomo,﻿Kokomo,﻿IN,,40.486427,-86.133603,﻿for.in.0109,﻿and from Peru,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0060,﻿church,[Unnamed Institution],English,,,,﻿Noble County,﻿Noble County,﻿Kendalville,﻿Kendallville,﻿IN,,41.441438,-85.264975,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0062,﻿church,﻿St. Mary's of Mercy,English,﻿Foundation for the new church laid,,,﻿Tippecanoe County,﻿Tippecanoe County,﻿Lafayette,﻿Lafayette,﻿IN,,40.418027,-86.882871,,,,﻿eb_kilroy_001,﻿Rev.,﻿E.B. Kilroy,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0063,﻿church,﻿St. Boniface,English,,,,﻿Tippecanoe County,﻿Tippecanoe County,﻿Lafayette,﻿Lafayette,﻿IN,,40.346973,-86.822034,,,,﻿f_deipenbrock_001,﻿Rev.,﻿F. Deipenbrock,,﻿Pastor,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0063,﻿church,﻿St. Boniface,English,,,,﻿Tippecanoe County,﻿Tippecanoe County,﻿Lafayette,﻿Lafayette,﻿IN,,40.346973,-86.822034,,,,﻿jos_a_stephan_001,﻿Rev.,﻿Jos. A. Stephan,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0065,﻿church,[Unnamed Institution],English,,,,,﻿Boone County,﻿Lebanon,﻿Lebanon,﻿IN,,40.048374,-86.469168,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0069,﻿church,﻿Nativity of Blessed Virgin,English,,,,﻿Laporte County,﻿LaPorte County,﻿Laporte,﻿La Porte,﻿IN,,41.611143,-86.722719,,,,﻿fra_lawler_001,﻿Rev.,﻿Francis Lawler,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0070,﻿church,﻿St. Joseph's,English,,,,﻿Laporte County,﻿LaPorte County,﻿Laporte,﻿La Porte,﻿IN,,41.611143,-86.722719,,,,﻿mar_scherer_001,﻿Rev.,﻿Martin Scherer,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0077,﻿church,[Unnamed Institution],English,,,,﻿Lake County,﻿Lake County,﻿Lowell,﻿Lowell,﻿IN,,41.291424,-87.42059,﻿for.in.0129,﻿attended from St. John's,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0079,﻿church,﻿St. Patrick's,English,,,,﻿Wabash County,﻿Wabash County,﻿Legros,﻿Lagro,﻿IN,,40.8381,-85.730261,,,,﻿joh_ryan_001,﻿Rev.,﻿John Ryan,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0193,﻿church,﻿St. Mary's,English,,,,﻿Allen County,﻿Allen County,﻿Leo,﻿Leo,﻿IN,,,,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0080,﻿church,[Unnamed Institution],English,﻿New church building,,,﻿Noble County,﻿Noble County,﻿Ligonier,﻿Ligonier,﻿IN,,41.465882,-85.587485,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1861,﻿,﻿,﻿Fort Wayne,FortWayne
