instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 A.M.  Vespers, at 3 P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.819311,-71.416583,,,,﻿f_p_mcfarland_001,﻿Rt. Rev.,﻿F. P. McFarland,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 A.M.  Vespers, at 3 P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.819311,-71.416583,,,,﻿t_quinn_001,﻿Rev.,﻿T. Quinn,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 A.M.  Vespers, at 3 P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.819311,-71.416583,,,,﻿hug_carmody_001,﻿Rev.,﻿Hugh Carmody,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 A.M.  Vespers, at 3 P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.819311,-71.416583,,,,﻿dan_mullen_001,﻿Rev.,﻿Daniel Mullen,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 A.M.  Vespers, at 3 P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.819311,-71.416583,,,,﻿joh_fagan_002,﻿Rev.,﻿John Fagan,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 A.M.  Vespers, at 3 P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.819311,-71.416583,,,,﻿mic_tully_001,﻿Rev.,﻿M. Tully,,,﻿Absent on account of ill health,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 A.M.  Vespers, at 3 P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.819311,-71.416583,,,,﻿joh_duffy_002,﻿Rev.,﻿John Duffy,,,﻿Absent on account of ill health,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8326,-71.419564,,,,﻿pat_lambe_001,﻿Rev.,﻿Patrick Lambe,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0003,﻿church,﻿St. Joseph's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.821391,-71.396625,,,,﻿pet_browne_001,﻿Rev.,﻿Peter Browne,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0005,﻿church,﻿Immaculate Conception,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,,41.823989,-71.412834,,,,﻿edw_j_cooney_001,﻿Rev.,﻿Edward J. Cooney,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0004,﻿church,﻿St. Mary's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.823989,-71.412834,,,,﻿joh_quinn_001,﻿Rev.,﻿John Quinn,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0006,﻿church,﻿St. Bernard's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,,,,,,﻿ber_d_coit_001,﻿Rev.,﻿Bernard D. Coit,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0008,﻿chapel,﻿St. Catharine's Chapel,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,,41.821092,-71.414004,,,,﻿dan_mullen_001,﻿Rev.,﻿D. Mullen,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0008,﻿chapel,﻿Our Lady of Mercy,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,,41.821092,-71.414004,,,,﻿hug_carmody_001,﻿Rev.,﻿Hugh Carmody,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0009,﻿church,not recorded,English,,,,﻿Providence County,﻿Providence County,﻿Albion,﻿Albion,﻿RI,,41.9533,-71.458136,,﻿attended from Pascoag,﻿every month,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0012,﻿church,﻿Immaculate Conception,English,,,,,﻿Bristol County,﻿Bristol,﻿Bristol,﻿RI,,41.671182,-71.270735,﻿har.ct.0033,﻿attended from Warren,﻿Mass every Sunday,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0017,﻿church,﻿Our Lady of Mount Carmel,English,﻿Mass every Sunday.,,,,﻿Kent County,﻿Crompton,﻿Crompton,﻿RI,,41.68472,-71.51417,,,,﻿j_gibson_001,﻿Rev.,﻿J.  Gibson,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0020,﻿church,﻿Holy Name of Jesus,English,,,,,﻿Kent County,﻿Greenwich,﻿East Greenwich,﻿RI,,41.654058,-71.457672,﻿har.ct.0027,﻿attended from Phoenixville,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0016,﻿church,﻿St. Anne's,English,﻿Mass every Sunday.,,,,﻿Providence County,﻿Cranston,﻿Cranston,﻿RI,,41.779823,-71.43728,,,,﻿pat_glennon_002,﻿Rev.,﻿Patrick Glennon,,﻿Pastor,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0021,﻿church,﻿St. Philip Neri,English,,,,,﻿Providence County,﻿Greenville,﻿Greenville,﻿RI,,41.873398,-71.559435,,,,﻿p_gillick_001,﻿Rev.,﻿P. Gillick,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0023,﻿church,not recorded,English,,,,,﻿Providence County,﻿Manville,﻿Manville,﻿RI,,41.968135,-71.474944,,﻿attended from Pascoag,﻿every month,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0025,﻿church,﻿Our Lady of the Isle,English,,,,,﻿Newport County,﻿Newport,﻿Newport,﻿RI,,41.484199,-71.308439,,,,﻿wil_oreilly_001,﻿Very Rev.,﻿Wm. O'Reilly,﻿V.G.,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0025,﻿church,﻿Our Lady of the Isle,English,,,,,﻿Newport County,﻿Newport,﻿Newport,﻿RI,,41.484199,-71.308439,,,,﻿p_creighton_003,﻿Rev.,﻿P. Creighton,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0026,﻿church,﻿Immaculate Conception,English,,,,,﻿Providence County,﻿Pawtucket,﻿Pawtucket,﻿RI,,41.878711,-71.382556,,,,﻿p_g_delaney_001,﻿Rev.,﻿P. Delany,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0027,﻿church,﻿SS. Peter and Paul,English,,,,,﻿Kent County,﻿Phoenixville,﻿West Warwick,﻿RI,,41.721302,-71.529526,,,,﻿m_a_wallace_001,﻿Rev.,﻿M. A. Wallace,﻿LL.D.,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0027,﻿church,﻿SS. Peter and Paul,English,﻿church building,,,,﻿Kent County,﻿Valley Falls,﻿Valley Falls,﻿RI,,41.721302,-71.529526,﻿har.ct.0026,﻿attended from Pawtucket,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0027,﻿church,﻿Imm. Conception,English,﻿church building,,,,﻿Washington County,﻿Wakefield,﻿Wakefield,﻿RI,,41.721302,-71.529526,﻿har.ct.0125,﻿attended from Stonington,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0033,﻿church,﻿St. Mary's,English,﻿Mass every Sunday.,,,,﻿Bristol County,﻿Warren,﻿Warren,﻿RI,,41.730379,-71.282549,,,,﻿mic_mccallion_001,﻿Rev.,﻿Mich'l McCallion,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0035,﻿church,﻿St. Charles Borromeo's,English,,,,﻿Cumberland Co.,﻿Providence County,﻿Woonsocket,﻿Woonsocket,﻿RI,,42.008323,-71.513785,,,,﻿mic_mccabe_001,﻿Rev.,﻿Michael McCabe,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0034,﻿church,not recorded,English,,,,,﻿Washington County,﻿Wickford,﻿Wickford,﻿RI,,41.57226,-71.448489,﻿har.ct.0027,﻿attended from Phoenixville,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0034,﻿church,﻿Immaculate Conception,English,,,,﻿New London County,﻿Washington County,﻿Baltic,﻿Wickford,﻿CT,,41.57226,-71.448489,﻿har.ct.0143,﻿attended from Willimantic,﻿every Sunday,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0039,﻿church,﻿St. James',English,,,,,﻿Fairfield County,﻿Bridgeport,﻿Bridgeport,﻿CT,,41.180428,-73.19661,,,,﻿tho_j_synnott_001,﻿Rev.,﻿Thomas. J. Synnott,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0040,﻿church,﻿St. Mary's,English,,﻿East-Bridgeport,,,﻿Fairfield County,﻿Bridgeport,﻿Bridgeport,﻿CT,,41.181461,-73.178874,,,,﻿pet_a_smyth_001,﻿Rev.,﻿Peter A. Smyth,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0041,﻿church,﻿Immaculate Conception,English,,,,,﻿New Haven County,﻿Birmingham,﻿Derby,﻿CT,,41.320652,-73.088997,,,,﻿joh_lynch_001,﻿Rev.,﻿John Lynch,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0043,﻿church,﻿Imm. Conception,English,﻿Mass every third Sunday,,,,﻿New Haven County,﻿Brantford,﻿Branford,﻿CT,,41.279903,-72.814118,,,,﻿wm_clarke_001,﻿Rev.,﻿Wm. Clarke,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0044,﻿church,﻿St. Joseph's,English,,,,,﻿Hartford County,﻿Bristol,﻿Bristol,﻿CT,,41.677574,-72.938515,,,,﻿l_daley_001,﻿Rev.,﻿L. Daley,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0046,﻿church,not recorded,English,,,,﻿Fairfield Co.,﻿Fairfield County,﻿Brookfield,﻿Brookfield,﻿CT,,41.482595,-73.409565,﻿har.ct.0103,﻿attended from Newtown,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0046,﻿church,not recorded,English,﻿church not dedicated,,,﻿Fairfield Co.,﻿New Haven County,﻿Cheshire,﻿Cheshire,﻿CT,,41.482595,-73.409565,,,,﻿mic_mccallion_001,﻿Rev. Mr.,﻿McCallion,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0048,﻿church,﻿St. Joseph's,English,,,,﻿New Haven Co.,﻿Middlesex County,﻿Chester,﻿Chester,﻿CT,,41.40114,-72.441381,﻿har.ct.0043,﻿attended from Branford,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0049,﻿church,not recorded,English,,,,﻿New Haven Co.,﻿Middlesex County,﻿Clinton,﻿Clinton,﻿CT,,41.288221,-72.528803,,,,﻿wil_clarke_002,﻿Rev.,﻿William Clarke,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0050,﻿church,not recorded,English,,,,,﻿New London County,﻿Colchester,﻿Colchester,﻿CT,,41.574211,-72.327698,﻿har.ct.0143,﻿attended from Willimantic,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0051,﻿church,not recorded,English,,,,,﻿Litchfield County,﻿Cold Brook,﻿Colebrook,﻿CT,,41.991407,-73.095676,﻿har.ct.0140,﻿attended from Winsted,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0052,﻿church,﻿St. Patrick's,English,,,,,﻿Hartford County,﻿Collinsville,﻿Collinsville,﻿CT,,41.812876,-72.920102,,,,﻿p_j_odwyer_001,﻿Rev.,﻿P. J. O'Dwyer,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0053,﻿church,﻿St. Bridget's,English,,,,,﻿Litchfield County,﻿Cornwall,﻿Cornwall,﻿CT,,41.786629,-73.276536,﻿har.ct.0059,﻿attended from Falls Village,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0055,﻿church,﻿St. Peter's,English,,,,,﻿Fairfield County,﻿Danbury,﻿Danbury,﻿CT,,41.392058,-73.448883,,,,﻿tho_drea_001,﻿Rev.,﻿Thomas Drea,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0056,﻿church,not recorded,English,﻿no church,,,,﻿Windham County,﻿Danielsonville,﻿Danielson,﻿CT,,41.802637,-71.884735,,,,﻿phi_b_daly_001,﻿Rev.,﻿Philip B. Daly,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0057,﻿church,﻿St. Thomas Aquinas',English,,,,,﻿Fairfield County,﻿Fairfield,﻿Fairfield,﻿CT,,41.140725,-73.261772,,,,﻿t_j_synnott_001,﻿Rev.,﻿T. J. Synnott,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0059,﻿church,﻿St. Patrick's,English,,,,,﻿Litchfield County,﻿Falls Village,﻿Falls Village,﻿CT,,41.95502,-73.365058,,,,﻿r_ogorman_001,﻿Rev.,﻿R. O'Gorman,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0060,﻿church,not recorded,English,,,,,﻿Hartford County,﻿Farmington,﻿Farmington,﻿CT,,41.736031,-72.795027,﻿har.ct.0012,﻿attended from New Britain,﻿once a month,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0064,﻿church,﻿St. Columbkill's,English,,,,,﻿Litchfield County,﻿Goshen,﻿Goshen,﻿CT,,41.831519,-73.224895,﻿har.ct.0059,﻿attended from Falls Village,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0065,﻿church,﻿St. Mary's,English,,,,,﻿Fairfield County,﻿Greenwich,﻿Greenwich,﻿CT,,41.026242,-73.628196,﻿har.ct.0020,﻿attended from Stamford,﻿Mass every Sunday,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0066,﻿church,not recorded,English,,,,,﻿New Haven County,﻿Guilford,﻿Guilford,﻿CT,,41.299241,-72.687839,﻿har.ct.0049,﻿attended from Clinton,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0073,﻿church,not recorded,English,,,,,﻿Middlesex County,﻿Haddam,﻿Haddam,﻿CT,,41.477143,-72.512276,﻿har.ct.0049,﻿attended from Clinton,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0074,﻿church,﻿Our Lady of Mount Carmel,English,,,,,﻿New Haven County,﻿Hamden,﻿Hamden,﻿CT,,41.39915,-72.896813,﻿har.ct.0132,﻿attended from Wallingford,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0076,﻿church,﻿St. Patrick's,English,,,,,﻿Hartford County,﻿Hartford,﻿Hartford,﻿CT,,41.782096,-72.682856,,,,﻿jam_hughes_001,﻿Rev.,﻿James Hughes,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0076,﻿church,﻿St. Patrick's,English,,,,,﻿Hartford County,﻿Hartford,﻿Hartford,﻿CT,,41.782096,-72.682856,,,,﻿phi_sheridan_001,﻿Rev.,﻿Philip Sheridan,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0077,﻿church,﻿St. Peter's,English,,,,,﻿Hartford County,﻿Hartford,﻿Hartford,﻿CT,,41.757322,-72.674281,,,,,﻿Rev.,﻿P. M. Kelly,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0080,﻿church,not recorded,English,﻿church not dedicated,,,,﻿Litchfield County,﻿Litchfield,﻿Litchfield,﻿CT,,41.747264,-73.188716,﻿har.ct.0140,﻿attended from Winsted,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0081,﻿church,not recorded,English,,,,,﻿New London County,﻿Lyme,﻿Lyme,﻿CT,,41.400812,-72.342952,﻿har.ct.0043,﻿attended from Brantford,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0082,﻿church,not recorded,English,,,,,﻿New Haven County,﻿Madison,﻿Madison,﻿CT,,41.295991,-72.575415,﻿har.ct.0043,﻿attended from Brantford,﻿once a month,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0083,﻿church,﻿St. Mary's,English,,,,,﻿Hartford County,﻿Manchester,﻿Manchester,﻿CT,,41.800189,-72.521592,,,﻿,﻿b_tully_001,﻿Rev.,﻿B. Tully,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0086,﻿church,﻿St. Rose of Lima,English,,,,,﻿New Haven County,﻿Meriden,﻿Meriden,﻿CT,,41.534956,-72.793037,,,,﻿tho_walsh_002,﻿Rev.,﻿Thomas Walsh,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0086,﻿church,﻿St. Rose of Lima,English,,,,,﻿Middlesex County,﻿Middle Haddam,﻿Middletown,﻿CT,,41.534956,-72.793037,﻿har.ct.0043,﻿attended from Brantford,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0087,﻿church,﻿St. John's,English,,,,,﻿Middlesex County,﻿Middletown,﻿Middletown,﻿CT,,41.567417,-72.652892,,,,﻿jam_lynch_001,﻿Rev.,﻿James Lynch,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0088,﻿church,﻿St. Mary's,English,,,,,﻿New Haven County,﻿Milford,﻿Milford,﻿CT,,41.326215,-72.922908,,,,﻿p_smyth_001,﻿Rev.,﻿P. Smyth,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0089,﻿church,not recorded,English,,,,,﻿Middlesex County,﻿Moodus,﻿Moodus,﻿CT,,41.502877,-72.450087,﻿har.ct.0043,﻿attended from Brantford,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0091,﻿church,not recorded,English,,,,,﻿New London County,﻿Mystic,﻿Mystic,﻿CT,,41.354266,-71.966462,﻿har.ct.0125,﻿attended from Stonington,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
﻿har.ct.0092,﻿church,﻿St. Anne's,English,,,,,﻿New Haven County,﻿Naugatuck,﻿Naugatuck,﻿CT,,41.492961,-73.054852,﻿har.ct.0133,﻿attended from Waterbury,,,,,,,,,,,,1861,﻿,﻿,﻿Hartford,Hartford
