instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lit.ar.0001,﻿cathedral,﻿Cathedral of St. Andrew,English,,,,﻿Pulaski County,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.742503,-92.27234,,,,﻿pat_reilly_001,﻿Very Rev.,﻿Patrick Reilly,﻿V.G.,﻿Rector,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0001,﻿cathedral,﻿Cathedral of St. Andrew,English,,,,﻿Pulaski County,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.742503,-92.27234,,,,﻿p_j_clarke_001,﻿Rev.,﻿P. Clarke,,﻿Assistant,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0047,﻿church,[Unnamed Institution],English,﻿vacant.,,,﻿Clarke County,﻿Clark County,﻿Antoine Crossing,﻿Antoine,﻿AR,,34.03637148,-93.42020935,,,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0003,﻿church,[Unnamed Institution],English,,,,﻿Independence County,﻿Independence County,﻿Batesville,﻿Batesville,﻿AR,,35.77023,-91.653267,﻿lit.ar.0001,﻿visited from the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0048,﻿church,[Unnamed Institution],English,,,,﻿Mississippi County,﻿Mississippi County,﻿Barfield Point,﻿Barfield Point,﻿AR,,35.83687968,-89.72273227,﻿lit.ar.0023,﻿visited from Helena,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0049,﻿church,[Unnamed Institution],English,﻿French Settlement,,,,,﻿Bartholomew,,,,33.496833,-91.4787452,﻿lit.ar.0027,﻿visited from Pine Bluff,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0004,﻿church,[Unnamed Institution],English,﻿vacant.,,,﻿Ouachita County,﻿Ouachita County,﻿Camden,﻿Camden,﻿AR,,33.582851,-92.937574,,,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0050,﻿church,[Unnamed Institution],English,﻿vacant.,﻿and to the Louisiana line,,,,﻿Champinole,﻿Champagnolle,﻿AR,,33.31271274,-92.50661536,,,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0051,﻿church,[Unnamed Institution],English,,,,﻿Chicot County,,﻿Columbia,,﻿AR,,33.32904977,-91.15397817,﻿lit.ar.0029,﻿visited from Napoleon,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0052,﻿church,[Unnamed Institution],English,,﻿Dooling and Miller's Settlement,,,,,,﻿AR,,33.50732768,-93.8331658,﻿lit.ar.0023,﻿visited from Helena,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0016,﻿church,[Unnamed Institution],English,,,,,﻿Washington County,﻿Fayetteville,﻿Fayetteville,﻿AR,,36.062658,-94.160584,﻿lit.ar.0015,﻿attended from Fort Smith,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0053,﻿church,[Unnamed Institution],﻿French,﻿vacant.,,,﻿Ouachita County,,﻿Fogle Settlement,﻿Frenchport,﻿AR,,33.47508199,-92.78726561,,,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0015,﻿church,[Unnamed Institution],English,,,,,﻿Sebastian County,﻿Fort Smith,﻿Fort Smith,﻿AR,,35.384372,-94.420965,,,,﻿p_hurly_001,﻿Rev.,﻿P. Hurly,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0015,﻿church,[Unnamed Institution],English,,,,,﻿Sebastian County,﻿Fort Smith,﻿Fort Smith,﻿AR,,35.384372,-94.420965,,,,﻿f_pecherit_001,﻿Rev.,﻿F. Pecherit,,,﻿who attends the Choctaw Indians,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0054,﻿church,[Unnamed Institution],﻿German,,﻿German Settlement,,﻿Monroe County,,,,﻿AR,,34.71274578,-91.24110049,,,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0023,﻿church,[Unnamed Institution],English,﻿church not yet dedicated...Three Priests would be well and usefully employed in the district,,,,﻿Phillips County,﻿Helena,﻿Helena,﻿AR,,34.529189,-90.5912,,,,﻿phi_shanahan_001,﻿Rev.,﻿Phillip Shanahan,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0008,﻿church,[Unnamed Institution],English,,,,,﻿Garland County,﻿Hot Spring,﻿Hot Springs,﻿AR,,34.507762,-93.0546,﻿lit.ar.0020,﻿visited from New Gascony,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0055,﻿church,[Unnamed Institution],English,,"﻿opposite Memphis, and the Eastern Terminus of the Little Rock Railroad",,,,﻿Hopefield,﻿West Memphis,﻿AR,,35.16606912,-90.19386993,﻿lit.ar.0023,﻿visited from Helena,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0046,﻿church,[Unnamed Institution],English,,﻿Irish Settlement,,﻿Pulaski County,﻿Pulaski County,,,﻿AR,,34.783159,-92.16093,﻿lit.ar.0001,﻿attended from the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0009,﻿church,[Unnamed Institution],English,,,,﻿Jackson County,﻿Jackson County,﻿Jacksonport,﻿Jacksonport,﻿AR,,35.64193,-91.308935,﻿lit.ar.0023,﻿visited from Helena,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0056,﻿church,[Unnamed Institution],English,,﻿Johnson's Plantation,,﻿Pulaski County,,,,﻿AR,,34.66888158,-92.28408308,﻿lit.ar.0001,﻿visited from the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0056,﻿church,[Unnamed Institution],English,"﻿on the East and West sides of the Mississippi River, from Hopefield to the Louisiana Line",﻿Levee Works,,﻿Pulaski County,,,,﻿AR,,34.66888158,-92.28408308,﻿lit.ar.0001,﻿attended by a Priest of the Diocese of Little Rock,,,,,,,,,,,,1861,﻿,﻿,﻿Little Rock,LittleRock
