instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mar.mi.0002,﻿cathedral,﻿St. Mary's Cathedral,English,,,﻿Upper Michigan,﻿Chippewa County,,﻿Saut Sainte Marie,,﻿MI,,,,,,,﻿ire_f_baraga_001,﻿Rt. Rev.,﻿Frederic Baraga,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0042,﻿church,[Unnamed Institution],English,﻿church building,"﻿on Beaver Island, in Lake Michigan",﻿Upper Michigan,,,﻿Beaver Harbor,,﻿MI,,45.7355109,-85.5173856,﻿mar.mi.0049,﻿attended from Cross Village by Rev. S. Zorn,,﻿s_zorn_002,﻿Rev.,﻿S. Zorn,,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0003,﻿church,[Unnamed Institution],English,,,﻿Upper Michigan,﻿Houghton County,﻿Keweenaw County,﻿Cliff Mine,﻿Phoenix,﻿MI,,47.388983,-88.276564,﻿mar.mi.0004,"﻿attended by Rev. Louis H. Thiele, of Eagle Harbor",﻿every second Sunday,﻿lou_h_thiele_001,﻿Rev.,﻿Louis H. Thiele,,,﻿of Eagle Harbor,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0026,﻿church,[Unnamed Institution],English,,,﻿Upper Michigan,﻿Houghton County,,﻿Copper Harbor,,﻿MI,,,,,﻿attended by Rev. L. H. Thiele,﻿occasionally,﻿l_h_thiele_001,﻿Rev.,﻿L. H. Thiele,,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0004,﻿church,﻿Church of the Most Holy Redeemer,English,,,﻿Upper Michigan,﻿Houghton County,﻿Keweenaw County,﻿Eagle Harbor,﻿Eagle Harbor,﻿MI,,47.456377,-88.1653508,,,,﻿lou_h_thiele_001,﻿Rev.,﻿Louis H. Thiele,,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0006,﻿church,﻿Immaculate Conception of the B.V. Mary,English,,﻿in Lake Michigan,﻿Upper Michigan,,﻿Charlevoix County,﻿Garden Island,﻿Garden Island,﻿MI,,45.8009346,-85.490699,﻿mar.mi.0049,﻿attended from Cross Village by Rev. S. Zorn,,﻿s_zorn_002,﻿Rev.,﻿S. Zorn,,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0044,﻿church,[Unnamed Institution],English,,﻿Keweenan Point District,﻿Upper Michigan,,,,,﻿MI,,,,,﻿attended by Rev. L. H. Thiele,,﻿l_h_thiele_001,﻿Rev.,﻿L. H. Thiele,,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0010,﻿church,﻿Church of the Most Holy Name of Jesus,English,,,﻿Upper Michigan,﻿Houghton County,﻿Baraga County,﻿L'Anse,﻿L'Anse,﻿MI,,46.7565991,-88.4529085,,﻿attended by Rev. Edward Jacker,,﻿edw_jacker_002,﻿Rev.,﻿Edward Jacker,,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0011,﻿church,﻿St. Ann's Church,English,,,﻿Upper Michigan,﻿Michilimackinac County,﻿Mackinac County,﻿Mackinac,﻿Mackinac Island,﻿MI,,45.8502451,-84.6114843,,,,﻿pat_b_murray_003,﻿Rev.,﻿Patrick Bernard Murray,,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
﻿mar.mi.0012,﻿church,﻿St. Martin's,English,,,﻿Upper Michigan,﻿Ontanagan County,﻿Ontonagon County,﻿Maple Grove,﻿Greenland,﻿MI,,46.779383,-89.1018056,﻿mar.mi.0045,﻿attended by Rev. M. Fox,,﻿m_fox_001,﻿Rev.,﻿M. Fox,,,,,,,,1861,﻿,﻿,﻿Saut-Saint-Marie,Marquette
