instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,﻿#REF!,﻿#REF!,,,,﻿mic_portier_901,﻿Rt. Rev.,﻿Michael Portier,﻿D.D.,﻿Bishop,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,﻿#REF!,﻿#REF!,,,,﻿gab_chalon_901,﻿Rev.,﻿Gabriel Chalon,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿James McGarahan,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,﻿#REF!,﻿#REF!,,,,﻿ant_lima_901,﻿Rev.,﻿Antonio Lima,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035_02,﻿church,﻿St. Joseph's,English,,﻿Springhill College (Church),,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,﻿#REF!,﻿#REF!,,,,﻿j_bazin_901,﻿Very Rev.,﻿J. Bazin,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9005_02,﻿chapel,﻿Chapel of the Visitation,English,,,,,,﻿Summerville,﻿Somerville,﻿AL,﻿AL,﻿#REF!,﻿#REF!,,,,﻿jam_lesne_901,﻿Rev.,﻿James Lesne,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9003,﻿church,﻿St. Paul's,English,,,,,,﻿Mount Vernon,﻿Mount Vernon,﻿AL,﻿AL,﻿#REF!,﻿#REF!,,,﻿visited by Rev. G Chalon,﻿g_chalon_901,﻿Rev.,﻿G. Chalon,,,﻿who attends several other stations on both sides of Mobile bay,,,,,1842,,"﻿https://en.wikipedia.org/wiki/Mount_Vernon,_Alabama",﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0022,﻿church,﻿St. Peter's,English,,,,,﻿Montgomery County,﻿Montgomery,﻿Montgomery,﻿AL,﻿AL,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿T. Moloney,,,﻿of Georgia,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9000,﻿church,﻿St. Michael's,English,,,,,﻿Escambia County,﻿Pensacola,﻿Pensacola,﻿FL,﻿FL,﻿#REF!,﻿#REF!,,,,﻿s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1842,,﻿https://stmichaelbasilica.com/our-history,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9000,﻿station,[Unnamed Institution],English,,﻿Barranco,﻿West Florida,,,,,﻿FL,﻿FL,﻿#REF!,﻿#REF!,,,﻿visited by Rev. S. Guinand,﻿s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9001,﻿station,[Unnamed Institution],English,,﻿Perdido Bay,﻿West Florida,,,,,﻿FL,﻿FL,﻿#REF!,﻿#REF!,,,﻿visited by Rev. S. Guinand,﻿s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9002,﻿station,[Unnamed Institution],English,,﻿Escombia Bay,﻿West Florida,,,,,﻿FL,﻿FL,﻿#REF!,﻿#REF!,,,﻿visited by Rev. S. Guinand,﻿s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9008,﻿station,[Unnamed Institution],English,,﻿Black Water,﻿West Florida,,,,,,,﻿#REF!,﻿#REF!,,,﻿visited by Rev. S. Guinand,﻿s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9003,﻿station,[Unnamed Institution],English,,﻿St. Joseph's Bay,﻿West Florida,,,,,﻿FL,﻿FL,﻿#REF!,﻿#REF!,,,﻿visited by Rev. G Chalon,﻿g_chalon_901,﻿Rev.,﻿G. Chalon,,,,,,,,1842,,,﻿,﻿,﻿Mobile,Mobile
