instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,"﻿There are three Masses on Sundays and Holydays, at 6, 8, and 10 A.M., in summer, and 6 1/2, 8, and 10 A.M., in winter. Vespers at 3 P.M. in winter, and at 4 in summer.",﻿Cathedral and Episcopal residence corner of Summer and Cedar streets,,﻿Davidson County,,﻿Nashville,﻿Nashville,﻿TN,,36.15966,-86.783051,,,,﻿r_p_miles_001,﻿Rt. Rev.,﻿R. P. Miles,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,"﻿There are three Masses on Sundays and Holydays, at 6, 8, and 10 A.M., in summer, and 6 1/2, 8, and 10 A.M., in winter. Vespers at 3 P.M. in winter, and at 4 in summer.",﻿Cathedral and Episcopal residence corner of Summer and Cedar streets,,﻿Davidson County,,﻿Nashville,﻿Nashville,﻿TN,,36.15966,-86.783051,,,,﻿jam_whelan_001,﻿Rt. Rev.,﻿J. Whelan,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,"﻿There are three Masses on Sundays and Holydays, at 6, 8, and 10 A.M., in summer, and 6 1/2, 8, and 10 A.M., in winter. Vespers at 3 P.M. in winter, and at 4 in summer.",﻿Cathedral and Episcopal residence corner of Summer and Cedar streets,,﻿Davidson County,,﻿Nashville,﻿Nashville,﻿TN,,36.15966,-86.783051,,,,﻿s_l_montgomery_001,﻿Very Rev.,﻿S. L. Montgomery,"﻿O.S.D., V.G.",,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,"﻿There are three Masses on Sundays and Holydays, at 6, 8, and 10 A.M., in summer, and 6 1/2, 8, and 10 A.M., in winter. Vespers at 3 P.M. in winter, and at 4 in summer.",﻿Cathedral and Episcopal residence corner of Summer and Cedar streets,,﻿Davidson County,,﻿Nashville,﻿Nashville,﻿TN,,36.15966,-86.783051,,,,﻿j_m_darco_001,﻿Rev.,﻿J. M. D'Arco,,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,"﻿There are three Masses on Sundays and Holydays, at 6, 8, and 10 A.M., in summer, and 6 1/2, 8, and 10 A.M., in winter. Vespers at 3 P.M. in winter, and at 4 in summer.",﻿Cathedral and Episcopal residence corner of Summer and Cedar streets,,﻿Davidson County,,﻿Nashville,﻿Nashville,﻿TN,,36.15966,-86.783051,,,,﻿j_scollard_001,﻿Rev.,﻿J. Scollard,,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0003,﻿church,﻿Church of the Assumption of B.V.,﻿German,"﻿High Mass on Sundays and Holydays, at 10 A.M., Vespers at 3 P.M.",﻿Corner of Vine and Monroe streets,,,,﻿Nashville,﻿Nashville,﻿TN,,36.175432,-86.791504,,,,﻿j_a_vogel_001,﻿Rev.,﻿J. A. Vogel,,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0007,﻿church,﻿Immaculate Conception,English,,,,﻿Montgomery County,,﻿Clarksville,﻿Clarksville,﻿TN,,36.529771,-87.359453,,,,﻿j_moshall_001,﻿Rev.,﻿J. Moshall,,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0002,﻿church,﻿St. John's,English,,﻿Edgefield,,﻿Davidson County,,﻿Edgefield,﻿Nashville,﻿TN,,36.178443,-86.679164,﻿nash.tn.0001,﻿attended from the Cathedral,,,,,,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0012,﻿station,[Unnamed Institution],English,﻿Regular Station; P.O. Gallatin,,,﻿Sumner County,,﻿Gallatin,﻿Gallatin,﻿TN,,36.298773,-86.684616,,,,﻿l_hoste_001,﻿Rev.,﻿L. Hoste,,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
﻿nash.tn.0064,﻿station,﻿Immaculate Conception,English,,,,﻿Sumner County,,﻿Gallatin Tunnel,﻿Gallatin,﻿TN,,,,,,,﻿l_hoste_001,﻿Rev.,﻿L. Hoste,,,,,,,,1860,﻿,﻿,﻿Nashville,Nashvile
