instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nash.tn.9000,,﻿Church of the Holy Rosary,English,,,,,,﻿Nashville,,﻿TN,,,,,,,﻿ric_p_miles_001,﻿Rt. Rev.,﻿Richard P. Miles,﻿D.D.,,,,,,,1840,,﻿https://www.hmdb.org/m.asp?m=36240,﻿,﻿,1840.0,Nashville
﻿nash.tn.9000,,﻿Church of the Holy Rosary,English,,,,,,﻿Nashville,,﻿TN,,,,,,,﻿jos_stokes_903,﻿Rev.,﻿Joseph Stokes,,,,,,,,1840,,,﻿,﻿,1840.0,Nashville
﻿nash.tn.9001,﻿station,not recorded,English,,,,,,﻿Gallatin,,﻿TN,,,,,,﻿visited occasionally by Rev. E. Durbin,﻿eli_j_durbin_001,﻿Rev.,﻿E. Durbin,,,,,,,,1840,,,﻿,﻿,1840.0,Nashville
﻿nash.tn.9002,﻿station,not recorded,English,,,,,,﻿Hartsville,,﻿TN,,,,,,﻿visited occasionally by Rev. E. Durbin,﻿eli_j_durbin_001,﻿Rev.,﻿E. Durbin,,,,,,,,1840,,,﻿,﻿,1840.0,Nashville
﻿nash.tn.9003,﻿station,not recorded,English,,,,,,﻿Athens,,﻿TN,,,,,,﻿visited occasionally by Rev. E. Durbin,﻿eli_j_durbin_001,﻿Rev.,﻿E. Durbin,,,,,,,,1840,,,﻿,﻿,1840.0,Nashville
﻿nash.tn.9004,﻿station,not recorded,English,,,,,,﻿Fayetteville,,﻿TN,,,,,,﻿visited occasionally by Rev. E. Durbin,﻿eli_j_durbin_001,﻿Rev.,﻿E. Durbin,,,,,,,,1840,,,﻿,﻿,1840.0,Nashville
﻿nash.tn.0004,﻿station,not recorded,English,,,,,,﻿Memphis,,﻿TN,,,,,,﻿visited occasionally by Rev. E. Durbin,﻿eli_j_durbin_001,﻿Rev.,﻿E. Durbin,,,,,,,,1840,,﻿https://stpeterchurch.org/parish-history,﻿,﻿,1840.0,Nashville
﻿nash.tn.9005,﻿station,not recorded,English,,,,,,﻿Columbia,,﻿TN,,,,,,﻿visited occasionally by Rev. E. Durbin,﻿eli_j_durbin_001,﻿Rev.,﻿E. Durbin,,,,,,,,1840,,,﻿,﻿,1840.0,Nashville
﻿nash.tn.9006,﻿station,not recorded,English,,,,,,﻿Jackson,,﻿TN,,,,,,﻿visited occasionally by Rev. E. Durbin,﻿eli_j_durbin_001,﻿Rev.,﻿E. Durbin,,,,,,,,1840,,,﻿,﻿,1840.0,Nashville
﻿nash.tn.0025,﻿station,not recorded,English,,,,,,﻿Franklin,,﻿TN,,,,,,﻿visited occasionally by Rev. E. Durbin,﻿eli_j_durbin_001,﻿Rev.,﻿E. Durbin,,,,,,,,1840,,,﻿,﻿,1840.0,Nashville
