instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,,,﻿Middle Tennessee,,﻿Davidson County,﻿Nashville,﻿Nashville,﻿TN,,36.165751,-86.78171,,,,﻿r_p_miles_001,﻿Rt. Rev.,﻿R. P. Miles,﻿D.D.,,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,,,﻿Middle Tennessee,,﻿Davidson County,﻿Nashville,﻿Nashville,﻿TN,,36.165751,-86.78171,,,,﻿s_l_montgomery_001,﻿Very Rev.,﻿Samuel L. Montgomery,"﻿O.S.D., V.G.",,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,,,﻿Middle Tennessee,,﻿Davidson County,﻿Nashville,﻿Nashville,﻿TN,,36.165751,-86.78171,,,,﻿j_h_lynch_001,﻿Rev.,﻿John H. Lynch,﻿O.S.D.,﻿Rector,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,,,﻿Middle Tennessee,,﻿Davidson County,﻿Nashville,﻿Nashville,﻿TN,,36.165751,-86.78171,,,,﻿j_scollard_001,﻿Rev.,﻿John Scollard,,﻿Assistant,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0003,﻿church,﻿Church of the Assumption,﻿German,,,﻿Middle Tennessee,,﻿Davidson County,﻿Nashville,﻿Nashville,﻿TN,,36.175432,-86.791504,,,,,,,,,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0002,﻿church,﻿St. John's,English,,﻿Edgefield,﻿Middle Tennessee,,﻿Davidson County,﻿Edgefield,﻿Nashville,﻿TN,,36.178443,-86.679164,﻿nash.tn.0001,﻿attended from Nashville,,,,,,,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0064,﻿station,﻿Immaculate Conception,English,,,﻿Middle Tennessee,﻿Sumner County,,﻿Gallatin Tunnel,﻿Gallatin,﻿TN,,,,,,,﻿l_hoste_001,﻿Rev.,﻿L. Hoste,,,﻿P. O. Gallatin,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0009,﻿station,﻿St. Michael's,English,﻿and several stations,,﻿Middle Tennessee,﻿Robertson County,,,,﻿TN,,36.549489,-87.000555,,,,﻿l_hoste_001,﻿Rev.,﻿L. Hoste,,,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0007,﻿church,﻿Immaculate Conception,English,,,﻿Middle Tennessee,﻿Montgomery County,,﻿Clarksville,﻿Clarksville,﻿TN,,36.529771,-87.359453,,,,﻿l_orengo_001,﻿Rev.,﻿L. Orengo,﻿O.S.D.,,﻿P. O. Waverly,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0018,﻿church,﻿St. Patrick's,English,,,﻿Middle Tennessee,﻿Humphries County,﻿Humphreys County,﻿Irish Settlement,﻿McEwen,﻿TN,,36.107838,-87.633074,,,,﻿l_orengo_001,﻿Rev.,﻿L. Orengo,,,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0036,﻿station,[Unnamed Institution],English,﻿church not dedicated,,﻿Middle Tennessee,,﻿Bedford County,﻿Shelbyville,﻿Shelbyville,﻿TN,,35.483406,-86.460272,,,,,,,,,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0004&0006,﻿church,﻿St. Peter's,English,﻿Various stations attended from Memphis,,﻿Western District,,,﻿Memphis,﻿Memphis,﻿TN,,35.071573,-90.00337,,,,﻿tho_l_grace_002,﻿Very Rev.,﻿Thomas L. Grace,﻿O.S.D.,﻿V.G. of Memphis district,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0004&0006,﻿church,﻿St. Peter's,English,﻿Various stations attended from Memphis,,﻿Western District,,,﻿Memphis,﻿Memphis,﻿TN,,35.071573,-90.00337,,,,﻿ray_gangloff_001,﻿Rev.,﻿Raymond Gangloff,﻿O.S.D.,,﻿Pastor of the Germans,,,,,1859,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0004&0006,﻿church,﻿St. Peter's,English,﻿Various stations attended from Memphis,,﻿Western District,,,﻿Memphis,﻿Memphis,﻿TN,,35.071573,-90.00337,,,,﻿ste_byrne_003,﻿Rev.,﻿Stephen Byrne,﻿O.S.D.,,,,,,,1859,﻿,﻿,﻿Nashville,Nashville
