instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿aug_m_martin_001,﻿Rt. Rev.,﻿Augustus M. Martin,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿p_f_dicharry_001,﻿Very Rev.,﻿P. F. Dicharry,﻿S.T.D.,,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿f_le-vézouët_001,﻿Rev.,﻿F. Le Vézouët,,﻿Secretary,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,,﻿Rev.,﻿A. Labatut,,,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0013,﻿church,﻿Our Lady of Mount Carmel,English,,,,﻿Natchitoches Parish,,﻿Adaes,﻿Robeline,﻿LA,,31.70723337,-93.29302878,,,,,,,,,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0014,﻿church,﻿St. Francis Xavier's,English,,,,﻿Rapides Parish,,﻿Alexandria,﻿Alexandria,﻿LA,,31.31276327,-92.44777472,,,,,﻿Rev.,﻿J. P. Bellier,,,"﻿who attends Nooiloway's Prairie, Pineville, and Spring Creek",,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0023,﻿church,﻿St. Paul's,English,,,,﻿Parish of Avoyelles,,﻿Avoyelles,﻿Mansura,﻿LA,,31.060584,-92.049723,,,,﻿jul_janneau_001,﻿Rev.,﻿James Ganneau,,,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0023,﻿church,﻿St. Hyacinth,English,,,,﻿Parish of Avoyelles,,﻿Bayou de Glaises,﻿Mansura,﻿LA,,31.060584,-92.049723,,,,,,,,,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿BAYOU CYE--,﻿church,not recorded,English,,,,,,,,,,,,,,,,,,,,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
﻿BAYOU PIERRE--,﻿church,not recorded,English,,,,,,,,,,,,,,,,,,,,,,,,,1861,﻿,﻿,﻿Natchitoches,Natchitoches
