instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,"﻿Archi-episcopal residence, 263 Mulberry Street","﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,﻿40.7190813,﻿-73.9964737,,,,﻿joh_hughes_001,﻿Most Rev.,﻿John Hughes,﻿D.D.,,,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,﻿#REF!,﻿#REF!,,,,﻿wil_starrs_001,﻿Very Rev.,﻿William Starrs,,﻿V.G.,﻿Rector,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿Thos. S. Preston,,,,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,﻿#REF!,﻿#REF!,,,,﻿fra_mcneirny_001,﻿Rev.,﻿Francis McNeirny,,﻿Secretary to the Archbishop,,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿John McEvoy,,,,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿Joseph Woods,,,,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0041,﻿cathedral,﻿Chaneery Office,English,"﻿266 Mulberry street. Open from 10 to 12 A.M., where applications for dispensations must be sent","﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,﻿Barclay street,,,,﻿New York City,,﻿NY,,﻿40.7117568,﻿-74.0119962,,,,﻿wil_quinn_001,﻿Rev.,﻿William Quinn,,,,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,﻿Barclay street,,,,﻿New York City,,﻿NY,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿Jas. L. Conron,,,,,,,,1861,﻿,﻿,﻿New York,NewYork
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,﻿,﻿Barclay street,,,,﻿New York City,,﻿NY,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿John Shanahan,,,,,,,,1861,﻿,﻿,﻿New York,NewYork
