instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,"﻿Archiepiscopal residence, 263 Mulberry Street","﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,40.723512,-73.995189,,,,﻿joh_hughes_001,﻿Most Rev.,﻿John Hughes,﻿D.D.,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,40.723512,-73.995189,,,,﻿wil_starrs_001,﻿Very Rev.,﻿William Starrs,,﻿V.G.,﻿Rector,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,40.723512,-73.995189,,,,﻿tho_s_preston_001,﻿Rev.,﻿Thos. S. Preston,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,40.723512,-73.995189,,,,﻿fra_mcneirny_001,﻿Rev.,﻿Francis McNeirny,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,40.723512,-73.995189,,,,﻿joh_mcevoy_001,﻿Rev.,﻿John McEvoy,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,40.723512,-73.995189,,,,﻿jos_woods_001,﻿Rev.,﻿Joseph Words,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,"﻿Mott street, between Prince and Houston",,,,﻿New York City,,﻿NY,,40.723512,-73.995189,,,,﻿p_hennessy_001,﻿Rev.,﻿P. Hennessey,,,﻿who attends Calvary Cemetery,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,﻿Barclay street,,,,﻿New York City,,﻿NY,,40.712375,-73.998946,,,,﻿wil_quinn_001,﻿Rev.,﻿William Quinn,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,﻿Barclay street,,,,﻿New York City,,﻿NY,,40.712375,-73.998946,,,,﻿jam_l_conron_001,﻿Rev.,﻿Jas. Conron,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,﻿,﻿Barclay street,,,,﻿New York City,,﻿NY,,40.712375,-73.998946,,,,﻿joh_shanahan_001,﻿Rev.,﻿John Shanahan,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0369,﻿church,﻿St. Mary's,English,,﻿cor. Grand and Ridge streets,,,,,,,,,,,,,﻿mic_mccarron_001,﻿Very Rev.,﻿Michael McCarron,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0369,﻿church,﻿St. Mary's,English,,﻿cor. Grand and Ridge streets,,,,,,,,,,,,,﻿jam_boyce_001,﻿Rev.,﻿James Boyce,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0045,﻿church,﻿St. Joseph's,English,,"﻿6th avenue, corner of Barrow street",,,,,,,,40.732497,-74.000619,,,,﻿tho_farrell_001,﻿Rev.,﻿Thomas Farrell,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0045,﻿church,﻿St. Joseph's,English,,"﻿6th avenue, corner of Barrow street",,,,,,,,40.732497,-74.000619,,,,﻿jer_nobriga_001,﻿Rev.,﻿Jerome Nobriga,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0044,﻿church,﻿St. James',English,,﻿James street,,,,﻿New York City,,﻿NY,,40.712375,-73.998946,,,,﻿jam_brennan_001,﻿Rev.,﻿James Brennan,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0044,﻿church,﻿St. James',English,﻿,﻿James street,,,,﻿New York City,,﻿NY,,40.712375,-73.998946,,,,﻿cla_pernot_001,﻿Rev.,﻿C. Pernot,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0044,﻿church,﻿St. James',English,﻿,﻿James street,,,,﻿New York City,,﻿NY,,40.712375,-73.998946,,,,﻿t_scollon_001,﻿Rev.,﻿T. Scollon,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0046,﻿church,﻿Transfiguration,English,,"﻿Mott street, near Chatham",,,,﻿New York City,,﻿NY,,40.712375,-73.998946,,,,﻿wm_mcclellan_001,﻿Rev.,﻿Wm. McClellan,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0046,﻿church,﻿Transfiguration,English,,"﻿Mott street, near Chatham",,,,﻿New York City,,﻿NY,,40.712375,-73.998946,,,,﻿tho_treanor_001,﻿Rev.,﻿Thomas Treanor,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0051,﻿church,﻿St. Nicholas,﻿German,,"﻿2d street, near avenue A",,,,﻿New York City,,﻿NY,,40.723233,-73.986727,,,,﻿amb_buchmeyer_001,﻿Rev.,﻿Ambrose Buchmeyer,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0051,﻿church,﻿St. Nicholas,﻿German,,"﻿2d street, near avenue A",,,,﻿New York City,,﻿NY,,40.723233,-73.986727,,,,﻿fel_krebbs_001,﻿Rev.,﻿Felician Krebez,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0047,﻿church,﻿St. Andrew's,English,,"﻿Duane street, corner City Hall Place",,,,﻿New York City,,﻿NY,,40.713322,-74.002848,,,,﻿mic_curran_001,﻿Rev.,﻿Michael Curran,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0047,﻿church,﻿St. Andrew's,English,﻿,"﻿Duane street, corner City Hall Place",,,,﻿New York City,,﻿NY,,40.713322,-74.002848,,,,﻿lou_terykowich_001,﻿Rev.,﻿Louis Terykowich,,,,,,,,1860,﻿,﻿,﻿New York,NewYorkCity
