instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ric.va.0001,﻿church,﻿St. Peter's,English,,,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.540549,-77.43524,,,﻿Service every Sunday,﻿ric_whelan_901,﻿Rt. Rev.,﻿Richard V. Whelan,﻿D. D.,,,,,,,1843,"﻿https://en.wikipedia.org/wiki/St._Peter%27s_Pro-Cathedral_(Richmond,_Virginia)#:~:text=Article-,St.,Sacred%20Heart%20in%201906%2C%20St. ; https://richmonddiocese.org/parishes/saint-peter/",﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿church,﻿St. Peter's,English,,,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.540549,-77.43524,,,,﻿tim_obrien_901,﻿Rev.,﻿Timothy O'Brien,,,,,,,,1843,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0015,﻿church,﻿St. Patrick's,English,,,,﻿Norfolk County,,﻿Norfolk,﻿Norfolk,﻿VA,﻿VA,36.847149,-76.282363,,,,﻿ale_hitselberger_001,﻿Rev.,﻿A. Hitselberger,,,,,,,,1843,﻿https://www.basilicaofsaintmary.org/history,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0017,﻿church,﻿St. Paul's,English,,,,﻿Norfolk County,﻿Norfolk County,﻿Portsmouth,﻿Portsmouth,﻿VA,﻿VA,36.835604,-76.303475,,,,﻿w_moriarty_901,﻿Rev.,﻿W. Moriarty,,,,,,,,1843,﻿https://oldetowneportsmouth.com/listings/st-pauls-catholic-church/ ; https://www.clusterparishes.com/,﻿,﻿,﻿Richmond,Richmond
﻿whe.va.0001,﻿church,﻿St. Mary's,English,,,,﻿Ohio County,﻿Ohio County,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.066459,-80.719532,,,,﻿jam_haerner_901,﻿Rev.,﻿J. Hoerner,,,,,,,,1843,﻿https://saintjosephcathedral.com/our-history/,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0009,﻿church,﻿St. John's,English,,,,﻿Berkely County,﻿Berkeley County,﻿Martinsburg,﻿Martinsburg,﻿VA,﻿WV,39.455404,-77.964527,,,"﻿1st, 2d and 3d Sundays of the month",﻿joh_obrien_901,﻿Rev.,﻿John O'Brien,,,,,,,,1843,"﻿https://en.wikipedia.org/wiki/Martinsburg,_West_Virginia#:~:text=The%20city%20of%20Martinsburg%20was,Legislature%20on%20March%2030%2C%201868.&text=Martinsburg%20became%20a%20center%20of%20the%20railroad%20industry%20and%20its%20workers. ; https://stjosephwv.org/",﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0011,﻿church,﻿St. Peter's,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Harper's Ferry,﻿Harper's Ferry,﻿VA,﻿WV,39.322723,-77.731312,,,﻿4th Sunday of the month and monthly on a week-day,﻿joh_obrien_901,﻿Rev.,﻿J. O'Brien,,,,,,,,1843,﻿https://www.stjameswv.org/history-of-st-james-the-greater ; possible history to touch on in the future w/ a profile: http://www.histarch.illinois.edu/harper/StPeterhistory1.html#V,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0010,﻿church,﻿St. Vincent's,English,,,,﻿Morgan County,﻿Bath County,﻿Bath,,﻿VA,﻿VA,38.046111,-79.790556,,,﻿5th Sunday of the month and monthly on a week-day,﻿joh_obrien_901,﻿Rev.,﻿J. O'Brien,,,,,,,,1843,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0012,﻿station,[Unnamed Institution],English,,,,,,﻿Winchester,,﻿VA,﻿VA,39.18566,-78.163334,,,﻿occasionally,﻿joh_obrien_901,﻿Rev.,﻿J. O'Brien,,,﻿Vacant,,,,,1843,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0004,﻿church,﻿St. Joseph's,English,,,,﻿Dinwiddie County,,﻿Petersburg,,﻿VA,﻿VA,37.227541,-77.406443,﻿ric.va.0001,﻿attended from Richmond,﻿every Sunday,,,,,,,,,,,1843,,﻿,﻿,﻿Richmond,Richmond
