instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,﻿Church and residence,﻿corner of Grace and 8th streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.5404728,-77.4352187,,,,﻿joh_w_mcgill_001,﻿Rt. Rev.,﻿John McGill,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,﻿Church and residence,﻿corner of Grace and 8th streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.5404728,-77.4352187,,,,﻿joh_teeling_002,﻿Very Rev.,﻿John Teeling,"﻿D.D., V.G.",,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,﻿Church and residence,﻿corner of Grace and 8th streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.5404728,-77.4352187,,,,﻿tho_becker_001,﻿Rev.,﻿Thomas Becker,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,﻿Church and residence,﻿corner of Grace and 8th streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.5404728,-77.4352187,,,,﻿r_h_andrews_001,﻿Rev.,﻿R. H. Andrews,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0002,﻿church,﻿St. Mary's,﻿German,﻿Church and residence,﻿corner of 4th and Marshal streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.557013,-77.4588057,,,,﻿jos_polk_001,﻿Rev.,﻿Joseph Polk,﻿S.J.,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0003,﻿church,﻿St. Patrick's,English,﻿a new church in progress of erection,,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.5311148,-77.4188862,,,,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0006,﻿church,﻿St. Mary's of the Immaculate Conception,English,"﻿New brick church, just erected",,,﻿Spottsylvania County,,﻿Fredericksburg,﻿Fredericksburgh,﻿VA,﻿VA,38.2970292,-77.4764711,﻿ric.va.0001,﻿Visited from Richmond,﻿every third Sunday,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0005,﻿church,﻿St. Mary's,English,"﻿This church was by rescript of 15 August, 1858, transferred to the Diocese of Richmond, at the request of the last Provincial Council of Balto.",,,,,﻿Alexandria,﻿Alexandria,﻿VA,﻿VA,38.8019025,-77.0438982,,,,﻿j_ryder_001,﻿Rev.,﻿J. Ryder,"﻿D.D., S.J.",,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0005,﻿church,﻿St. Mary's,English,"﻿This church was by rescript of 15 August, 1858, transferred to the Diocese of Richmond, at the request of the last Provincial Council of Balto.",,,,,﻿Alexandria,﻿Alexandria,﻿VA,,38.8019025,-77.0438982,,,,﻿pet_p_kroes_001,﻿Rev.,﻿P. P. Kroes,﻿S.J.,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0008,﻿church,﻿St. Mary's,English,"﻿A new church (frame) is being erected here, about 18 miles from Alexandria, on the Orange and Alexandria Rail Road",,,﻿Fairfax County,,﻿Fairfax Station,﻿Fairfax Station,﻿VA,﻿VA,38.8025901,-77.3271954,,,,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0009,﻿church,﻿St. John's,English,,,,﻿Berkeley County,,﻿Martinsburg,﻿Martinsburgh,﻿VA,﻿VA,39.4554011,-77.9644569,,,,﻿and_talty_001,﻿Rev.,﻿Andrew Talty,,,﻿Residence at this place,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0010,﻿church,﻿St. Vincent de Paul,English,,,,﻿Morgan County,,﻿Bath,﻿Bath,﻿VA,﻿VA,39.6261622,-78.2277954,,﻿Visited monthly by Rev. A. Talty,﻿monthly,﻿and_talty_001,﻿Rev.,﻿A. Talty,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0011,﻿church,﻿St. Peter's,English,,,,﻿Jefferson County,,﻿Harper's Ferry,﻿Harper's Ferry,﻿VA,﻿VA,39.3235474,-77.7324501,,,,﻿m_costello_001,﻿Rev.,﻿M. Costello,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0012,﻿church,﻿St. Patrick's,English,,,,﻿Frederick County,,﻿Winchester,﻿Winchester,﻿VA,﻿VA,39.1856597,-78.1633341,﻿ric.va.0011,﻿Visited by Rev. Dr. Costello,﻿monthly,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0013,﻿church,﻿St. Francis Xavier's,English,,,,﻿Campbell County,,﻿Lynchburg,﻿Lynchburgh,﻿VA,﻿VA,37.7941268,-122.408071,,,,﻿o_a_sears_001,﻿Rev.,﻿O. A. Sears,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0015,﻿church,﻿St. Mary's of the Immaculate Conception,English,"﻿A splendid new church, dedicated October 3, 1858",,,﻿Norfolk County,,﻿Norfolk,﻿Norfolk,﻿VA,﻿VA,36.8471276,-76.2824413,,,,﻿m_okeefe_001,﻿Rev.,﻿M. O'Keefe,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0016,﻿church,[Unnamed Institution],English,﻿chapel at the Fort,,,,,﻿Old Point Comfort,﻿Fort Monroe,﻿VA,﻿VA,37.0039535,-76.3122343,﻿ric.va.0017,"﻿Visited by Rev. Joseph Plunkett, from Portsmouth",﻿monthly,﻿jos_h_plunkett_001,﻿Rev.,﻿Joseph Plunkett,,,﻿from Portsmouth,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0017,﻿church,﻿St. Paul's,English,,,,﻿Norfolk County,,﻿Portsmouth,﻿Portsmouth,﻿VA,﻿VA,36.8352236,-76.3039492,,,,﻿jos_h_plunkett_001,﻿Rev.,﻿Joseph Plunkett,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0017,﻿church,﻿St. Paul's,English,,,,﻿Norfolk County,,﻿Portsmouth,﻿Portsmouth,﻿VA,,36.8352236,-76.3039492,,,,﻿j_brady_002,﻿Rev.,﻿J. Brady,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0004,﻿church,﻿St. Joseph's,English,﻿Residence adjoining the church,,,﻿Dinwiddie County,,﻿Petersburg,﻿Petersburgh,﻿VA,﻿VA,37.2277089,-77.4062829,,,,﻿tho_mulvey_001,﻿Very Rev.,﻿Thos. Mulvey,﻿V.G.,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0014,﻿church,﻿St. Francis of Assisium,English,"﻿Charlottesville, Lexington, Harrisonburg, Mountain Top, and other satations, are visited from Staunton",,,﻿Augusta County,,﻿Staunton,﻿Staunton,﻿VA,﻿VA,38.1514185,-79.0725932,,"﻿This church, for the present, is visited from Richmond",﻿every fourth Fourth Sunday of the month,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0014,﻿station,﻿St. Francis of Assisium,English,"﻿Charlottesville, Lexington, Harrisonburg, Mountain Top, and other satations, are visited from Staunton",,,﻿Augusta County,,﻿Charlottesville,﻿Staunton,﻿VA,﻿VA,38.1514185,-79.0725932,﻿ric.va.0014,﻿Visited from Staunton,,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0014,﻿station,﻿St. Francis of Assisium,English,"﻿Charlottesville, Lexington, Harrisonburg, Mountain Top, and other satations, are visited from Staunton",,,﻿Augusta County,,﻿Lexington,﻿Staunton,﻿VA,﻿VA,38.1514185,-79.0725932,﻿ric.va.0014,﻿Visited from Staunton,,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0014,﻿station,﻿St. Francis of Assisium,English,"﻿Charlottesville, Lexington, Harrisonburg, Mountain Top, and other satations, are visited from Staunton",,,﻿Augusta County,,﻿Harrisonburg,﻿Staunton,﻿VA,﻿VA,38.1514185,-79.0725932,﻿ric.va.0014,﻿Visited from Staunton,,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0014,﻿station,﻿St. Francis of Assisium,English,"﻿Charlottesville, Lexington, Harrisonburg, Mountain Top, and other satations, are visited from Staunton",,,﻿Augusta County,,﻿Mountain Top,﻿Staunton,﻿VA,﻿VA,38.1514185,-79.0725932,﻿ric.va.0014,﻿Visited from Staunton,,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0007,﻿church,[Unnamed Institution],English,﻿No church as yet erected at this place,,,﻿Fauquier County,,﻿Warrenton,﻿Warrenton,﻿VA,﻿VA,38.7201584,-77.797212,,﻿Visited from Richmond,﻿occasionally,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0007,﻿church,[Unnamed Institution],English,﻿No church as yet erected at this place,,,﻿Fauquier County,,﻿Warrenton,﻿Warrenton,﻿VA,,38.7201584,-77.797212,﻿ric.va.0005,﻿and Alexandria,﻿occasionally,,,,,,,,,,,1860,﻿,﻿,﻿Richmond,Richmond
