instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿j_b_lamy_001,﻿Rt. Rev.,﻿J. B. Lamy,,﻿D.D.,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿jp_macheboeuf_002,﻿Very. Rev.,﻿Joseph Projectus Machebeuf,,﻿V.G.,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿pet_eguillon_001,﻿Very. Rev.,﻿Peter Eguillon,﻿Rector,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿pet_martin_001,﻿Rev.,﻿Peter Martin,﻿Assistant,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿jb_raverdy_002,﻿Rev.,﻿John Raverdie,﻿Assistant,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0002,﻿chapel,﻿Nuestra Senora del Rosario,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.694414,-105.947463,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0003,﻿chapel,﻿Na. Senora de Guadelupe,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.68691,-105.944978,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0004,﻿chapel,﻿San Miguel,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.683511,-105.937693,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0005,﻿convent,﻿Oratorio del Convento de N. Senora de la Luz,English,,,,﻿Santa Fé County,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.674809,-105.915497,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0006,﻿chapel,﻿Chapel of San Isidro,English,,,,﻿Santa Fé County,,﻿Agua Fria,﻿Aguafria,﻿NM,,35.658339,-106.01428,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0008,﻿chapel,﻿N. Senora de los Remedois,English,,,,﻿Santa Fé County,,﻿Galisteo,﻿Galisteo,﻿NM,,35.395378,-105.94695,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0009,﻿chapel,﻿N. Senora de los Angeles,English,,,,﻿Santa Fé County,,﻿Pecos,﻿Pecos,﻿NM,,35.549994,-105.689158,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0219,﻿chapel,[Unnamed Institution],English,,,,﻿Santa Fé County,,﻿Placer de Dolores,,﻿NM,,35.453428,-106.078962,,﻿Attended from Santo Domingo,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0219,﻿chapel,﻿San Jose,English,,,,﻿Santa Fé County,,﻿La Cienega,,﻿NM,,35.453428,-106.078962,,﻿Attended from Santa Fe,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0011,﻿chapel,﻿Chapel of San Diego,English,﻿Pueblo Indians,,,﻿Santa Fé County,,﻿Tesuque,﻿Tesuque Pueblo,﻿NM,,35.82501,-105.978414,,﻿Attended from Santa Fe,,,,,,,,,,,,1861,﻿,﻿,﻿Santa Fe,SantaFe
