instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.64254815,-90.25465453,,,,,﻿Rt. Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿Joseph A. Lutz,﻿Secretary,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿James Fontbonne,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿F. B. Jamison,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿Joseph Renaud,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿John P. Fisher,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148_02,﻿chapel,﻿Chapel of St. Aloysius,"﻿English, German",﻿Sermon every Sunday in English and German,,,,,﻿St. Louis,,﻿MO,,,,,,﻿attended by Rev. F. Elet and other Revd. Fathers of the Society of Jesus,,﻿Rev.,﻿F. Elet,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9032_02,﻿chapel,﻿Chapel of St. Vincent of Paul,English,,﻿[at the] Hospital,,,,﻿St. Louis,,﻿MO,,,,,﻿attended by the Rev. gentlemen of the Cathedral,,,,,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9008_03,﻿chapel,﻿Sacred Heart,﻿English,﻿Sermon every Sunday in English,,,,,﻿St. Louis,,﻿MO,,,,,﻿[attended] by the Rev. gentlemen of the university,,,,,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9055,﻿church,﻿Trinity Church,English,,,,,,﻿St. Louis,,﻿MO,,,,,,,,,,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9055,﻿seminary,﻿Trinity Church,English,"﻿the cornerstone was laid May 5th, 1839",﻿Soulard's addition,,,,﻿St. Louis,,﻿MO,,,,,,,,,,,,,,,,,1840,,﻿,﻿,﻿St. Louis,StLouis
