instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,"﻿residence next to the Cathedral...High Mass, at 10½; Vespers, at 3½",﻿Walnut street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.624168,-90.18726,,,,﻿#REF!,﻿Rev.,﻿E. Saulnier,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,"﻿residence next to the Cathedral...High Mass, at 10½; Vespers, at 3½",﻿Walnut street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.624168,-90.18726,,,,,﻿Rev.,﻿R. Capezuto,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,"﻿residence next to the Cathedral...High Mass, at 10½; Vespers, at 3½",﻿Walnut street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.624168,-90.18726,,,,,﻿Rev.,﻿J. S. Latour,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,"﻿High Mass, at 10½; Vespers, at 3½",﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.631688,-90.192434,,,,,﻿Rev.,﻿F. Soutours,﻿S.J.,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,"﻿High Mass, at 10½; Vespers, at 3½",﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.631688,-90.192434,,,,,﻿Rev.,﻿T. Di Maria,﻿S.J.,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0004,﻿church,﻿St. Patrick's,English,"﻿residence Sixth Street, near Biddle...High Mass, at 10½; Vespers, at 3½",﻿Sixth and Biddle streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.635912,-90.187309,,,,,﻿Rev.,﻿W. Wheeler,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0004,﻿church,﻿St. Patrick's,English,"﻿residence Sixth Street, near Biddle...High Mass, at 10½; Vespers, at 3½",﻿Sixth and Biddle streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.635912,-90.187309,,,,,﻿Rev.,﻿C. Ziegler,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's,﻿German,"﻿High Mass, at 10½; Vespers, at 2½","﻿Third street, between Mulberry and Cedar",,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.618053,-90.190589,,,,,﻿Very Rev.,﻿J. Melcher,,﻿V.G.,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's,﻿German,"﻿High Mass, at 10½; Vespers, at 2½","﻿Third street, between Mulberry and Cedar",,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.618053,-90.190589,,,,,﻿Rev.,﻿H. Muhlsiepen,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0005,﻿church,﻿St. Michael's,English,"﻿High Mass, at 10½; Vespers, at 3½",﻿Jefferson street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.647536,-90.191275,,,,,﻿Rev.,﻿P. O'Brien,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0005,﻿church,﻿St. Michael's,English,"﻿High Mass, at 10½; Vespers, at 3½",﻿Jefferson street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.647536,-90.191275,,,,,﻿Rev.,﻿F. Ledwith,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0006,﻿church,﻿Holy Trinity,﻿German,"﻿High Mass, at 10½; Vespers, at 3½",﻿New Bremen st.,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.66013,-90.198461,,,,,﻿Rev.,﻿G. Doeblener,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0007,﻿church,﻿St. Vincent de Paul,English,"﻿residence beside the church...High Mass, at 10½; Vespers, at 3½",﻿Decatur street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.613308,-90.200597,,,,,﻿Rev.,﻿T. C. Burke,﻿C.M.,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0007,﻿church,﻿St. Vincent de Paul,English,"﻿residence beside the church...High Mass, at 10½; Vespers, at 3½",﻿Decatur street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.613308,-90.200597,,,,,﻿Rev.,﻿E. M. Henesey,﻿C.M.,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0007,﻿church,﻿St. Vincent de Paul,English,"﻿residence beside the church...High Mass, at 10½; Vespers, at 3½",﻿Decatur street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.613308,-90.200597,,,,,﻿Rev.,﻿G. Uhland,﻿C.M.,﻿Pastor of the Germans,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0008,﻿church,﻿St. John's,English,"﻿High Mass, at 10½; Vespers, at 3½",﻿Chestnut and 15th street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.629556,-90.203411,,,,,﻿Rev.,﻿M. Tobin,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0008,﻿church,﻿St. John's,English,"﻿High Mass, at 10½; Vespers, at 3½",﻿Chestnut and 15th street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.629556,-90.203411,,,,,﻿Rev.,﻿J. Bannon,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0009,﻿church,﻿SS. Peter and Paul,﻿German,,﻿Eighth street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.607344,-90.202749,,,,,﻿Rev.,﻿G. Goller,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0009,﻿church,﻿SS. Peter and Paul,﻿German,,﻿Eighth street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.607344,-90.202749,,,,,﻿Rev.,﻿J. Dornseiffer,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0009,﻿church,﻿SS. Peter and Paul,﻿German,,﻿Eighth street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.607344,-90.202749,,,,,﻿Rev.,﻿E. Schnidel,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0010,﻿church,﻿St. Bridget's,English,"﻿High Mass, at 10½; Vespers, at 3½",﻿near Franklin avenue,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.640208,-90.211947,,,,,﻿Rev.,﻿D. Lillis,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0010,﻿church,﻿St. Bridget's,English,"﻿High Mass, at 10½; Vespers, at 3½",﻿near Franklin avenue,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.640208,-90.211947,,,,,﻿Rev.,﻿E. Berry,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0247,﻿church,﻿St. John Nepomucene,﻿Bohemian,"﻿High Mass, at 10½; Vespers, at 3½",﻿Rosatti Street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.6383571,-90.2123798,,,,,﻿Rev.,﻿J. Trojan,,,,,,,,1861,﻿,﻿,﻿St. Louis,StLouis
