instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sta.fl.0001,﻿church,﻿St. Augustine's,English,,,,﻿St. John's County,,﻿St. Augustine,﻿Saint Augustine,﻿FL,,29.892184,-81.313931,,,,﻿#REF!,﻿Very Rev.,﻿Augustin Verot,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0001,﻿church,﻿St. Augustine's,English,,,,﻿St. John's County,,﻿St. Augustine,﻿Saint Augustine,﻿FL,,29.892184,-81.313931,,,,﻿#REF!,﻿Rev.,﻿Edmund Aubril,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0001,﻿church,﻿St. Augustine's,English,,,,﻿St. John's County,,﻿St. Augustine,﻿Saint Augustine,﻿FL,,29.892184,-81.313931,,,,﻿#REF!,﻿Rev.,﻿Benedict Madcore,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0002,﻿church,﻿Immaculate Conception,English,,,,﻿Duval County,,﻿Jacksonville,﻿Jacksonville,﻿FL,,30.069098,-81.870496,,,,﻿#REF!,﻿Rev.,﻿William J. Hamilton,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0006,﻿church,[Unnamed Institution],English,"﻿This is a rapidly growing town, where there is a church in process of erection.",﻿Amelia Island,,﻿Nassau County,,﻿Fernandina,﻿Fernandina Beach,﻿FL,,29.601622,-82.980719,,,,﻿#REF!,,,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0003,﻿church,"﻿St. Mary, Star of the Sea",English,"﻿vacant. A priest is much needed here, who would find a very good support. During the vacancy the Jesuits of Cuba have been invited to attend it monthly.",,,,,﻿Key West Island,﻿Key West,﻿FL,,24.553097,-81.795441,,,,﻿#REF!,,,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0030,﻿church,[Unnamed Institution],English,﻿There is a small chapel,,,﻿Duval County,﻿Clay County,﻿Middleburgh,,﻿FL,,30.069098,-81.870496,,,,﻿#REF!,,,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0011,﻿church,[Unnamed Institution],English,﻿A church wil be built here this fall,,,﻿Duval County,,﻿Mandarin,﻿Mandarin,﻿FL,,30.140447,-81.65344,,,,﻿#REF!,,,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0007,﻿church,﻿St. Monica's,English,﻿This little church was built here last summer.,,,﻿Putnam County,,﻿Pilatka,﻿Palatka,﻿FL,,29.64858,-81.637582,,,,﻿#REF!,,,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0005,﻿church,[Unnamed Institution],English,"﻿There is here a brick church, which is vacant.",,,,,﻿Tallahassee,﻿Tallahassee,﻿FL,,30.438133,-84.282584,,,,﻿#REF!,,,,,,,,,,1859,﻿,﻿,﻿VAFlorida,VAFlorida
