instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿oma.ne.0001,﻿church,[Unnamed Institution],English,,,,,,﻿Omaha City,﻿Omaha,﻿NE,﻿NE,41.256537,-95.934503,,,,﻿jas_m_ogorman_001,﻿Rt. Rev.,﻿Jas. M. O'Gorman,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0001,﻿church,[Unnamed Institution],English,,,,,,﻿Omaha City,﻿Omaha,﻿NE,,41.256537,-95.934503,,,,﻿f_kelly_001,﻿Rev.,﻿F. Kelly,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0001,﻿church,[Unnamed Institution],English,,,,,,﻿Elkhorn,﻿Omaha,﻿NE,,41.256537,-95.934503,﻿oma.ne.0001,﻿attended from Omaha City,,,,,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0003,﻿church,[Unnamed Institution],English,,,,,﻿Otoe County,﻿Nebraska City,﻿Nebraska City,﻿NE,﻿NE,40.676575,-95.859362,,,,﻿f_philip_001,﻿Rev.,﻿F. Philip,﻿O.S.B.,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0006,﻿church,[Unnamed Institution],English,,,,,﻿Richardson County,﻿Rulo,﻿Rulo,﻿NE,﻿NE,40.052462,-95.429276,,﻿Visited from Nebraska,,,,,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0013,﻿church,[Unnamed Institution],English,,,,,﻿Nemaha County,﻿Brownsville,﻿Brownsville,﻿NE,﻿NE,40.397779,-95.658045,,﻿Visited from Nebraska,,,,,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0004,﻿church,[Unnamed Institution],English,,,,,﻿Platte County,﻿Columbus City,﻿Columbus,﻿NE,﻿NE,41.430297,-97.35939,,,,﻿f_a_tourmont_001,﻿Rev.,﻿F. A. Tourmont,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0017,﻿church,[Unnamed Institution],English,,,,,,﻿Fremont,,﻿NE,﻿NE,41.433391,-96.498147,﻿oma.ne.0004,﻿Visited from Columbus,,,,,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0038,﻿church,﻿St. John's,English,,,,,,﻿St. Patrick's Settlement,,﻿NE,,42.471288,-96.567084,,,,﻿e_dillon_001,﻿Rev.,﻿E. Dillon,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿sio.sd.0005,﻿church,[Unnamed Institution],English,,,,,,﻿Fort Randall,,﻿NE,﻿SD,43.04919,-98.56236,,﻿Visited by F. A. Tourmont,,﻿f_a_tourmont_001,﻿Rev.,﻿F. A. Tourmont,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0024,﻿station,[Unnamed Institution],English,,,,,,﻿Plunka,﻿Punka,﻿NE,﻿NE,42.562497,-96.705592,,﻿Visited by F. A. Tourmont,,﻿f_a_tourmont_001,﻿Rev.,﻿F. A. Tourmont,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0024,﻿mission,﻿Settlements of W. Missions,English,,,,,,﻿Plunka,﻿Punka,﻿NE,,42.562497,-96.705592,,﻿Visited by F. A. Tourmont,,﻿f_a_tourmont_001,﻿Rev.,﻿F. A. Tourmont,,,,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
﻿hel.mt.0016,﻿mission,"﻿Indian Mission, of the Black Feet Tribe",English,,,,,,,,,,44.2643,-109.786953,,,,﻿a_hoecken_002,﻿Rev.,﻿A. Hoecken,﻿S.J.,,﻿with another Father of the Order,,,,,1861,﻿,﻿,﻿VANebraska,VANebraska
