instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿residence, Hampden street, in rear of Cathedral",﻿5th street,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.0780503,-80.7270944,,,,﻿ric_v_whelan_001,﻿Rt. Rev.,﻿Richard V. Whelan,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿residence, Hampden street, in rear of Cathedral",﻿5th street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.0780503,-80.7270944,,,,﻿joh_sullivan_002,﻿Rev.,﻿John Sullivan,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿residence, Hampden street, in rear of Cathedral",﻿5th street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.0780503,-80.7270944,,,,,﻿Rev.,﻿Dennis Brennan,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0002,﻿church,﻿St. Alphonsus',﻿German,"﻿residence, in the rear of the Church","﻿Market street, centre Wheeling",,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.0610267,-80.7237172,,,,﻿pet_kreusch_001,﻿Rev.,﻿M. Kreusch,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0081_02,﻿chapel,﻿Chapel of St. Joseph,English,,﻿Wheeling Hospital,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.066536,-80.719592,﻿whe.va.0001,﻿Attended from the Cathedral,﻿daily,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0005,﻿church,[Unnamed Institution],English,,,,,﻿Washington County,﻿Abingdon,﻿Abingdon,,﻿VA,36.7098335,-81.9773482,﻿whe.va.0075,﻿Attended from Wytheville,﻿monthly,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0007,﻿church,[Unnamed Institution],English,,,,,﻿Brooke County,﻿Bethany,﻿Bethany,﻿VA,﻿WV,40.205627,-80.5567384,﻿whe.va.0070,﻿Attended from Wellsburg,﻿monthly,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0008,﻿church,[Unnamed Institution],English,,,,﻿Upshur County,﻿Randolph County,﻿Beverly,,﻿VA,﻿WV,38.8092552,-80.0087746,﻿whe.va.0073,﻿Attended from Weston,﻿monthly,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0009,﻿station,[Unnamed Institution],English,,﻿Braxton Court-House,,,﻿Braxton County,,,﻿VA,﻿WV,38.7023371,-80.7214417,﻿whe.va.0073,﻿attended from Weston,﻿every second month,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0010,﻿church,[Unnamed Institution],English,,,,,﻿Harrison County,﻿Bridgeport,﻿Bridgeport,﻿VA,﻿WV,39.2864787,-80.2561981,﻿whe.va.0032,﻿Attended from Grafton,﻿monthly,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0011,﻿church,[Unnamed Institution],English,,﻿on Tennessee line,,,,﻿Bristol,﻿Bristol,,﻿VA,36.595142,-82.1887368,﻿whe.va.0075,﻿Attended from Wytheville,,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0012,﻿church,[Unnamed Institution],English,,,,﻿Putnam County,﻿Putnam County,﻿Buffalo,﻿Buffalo,﻿VA,﻿WV,38.6175863,-81.9818042,﻿whe.va.0016,﻿attended from Charleston or Parkersburg,﻿monthly,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0012,﻿church,[Unnamed Institution],English,,,,﻿Putnam County,﻿Putnam County,﻿Buffalo,﻿Buffalo,﻿VA,,38.6175863,-81.9818042,﻿whe.va.0047,,,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0014,﻿church,[Unnamed Institution],English,,,,,﻿Marshall County,﻿Cameron,﻿Cameron,﻿VA,﻿WV,38.5976262,-80.4549026,,﻿attended from Wheeling,﻿monthly,,,,,,,,,,,1861,﻿,﻿,﻿Wheeling,Wheeling
